@@716931	##	fo
txt	txt	nnu
The	the	at
faint	faint	jj
fragrance	fragrance	nn1
of	of	io
carnations	carnation	nn2
wafted	waft	vvd_vvn@
over	over	ii_rp
the	the	at
Paris	paris	np1
subway	subway	nn1
line	line	nn1
between	between	ii
the	the	at
Bastille	bastille	np1_nn1@
and	and	cc
the	the	at
Arc	arc	np1
de	de	np1
Triomphe	triomphe	np1
stations	station	nn2
today	today	rt
.	.	y
Officials	official	nn2
'	'	ge
took	take	vvd
note	note	nn1
as	as	csa_ii@
passengers	passenger	nn2
'	'	ge
expressions	expression	nn2
denoted	denote	vvd_vvn
either	either	rr
acceptance	acceptance	nn1
or	or	cc
disapproval	disapproval	nn1
.	.	y
The	the	at
underground	underground	nn1@_jj
had	have	vhd
changed	change	vvn
perfume	perfume	nn1
for	for	if
the	the	at
third	third	md
time	time	nnt1
in	in	ii
three	three	mc
months	month	nnt2
.	.	y
The	the	at
artificial	artificial	jj
aroma	aroma	nn1
is	be	vbz
intended	intend	vvn
?	?	y
pending	pending	ii
better	better	jjr
ventilating	ventilating	nn1
equipment	equipment	nn1
 -- 	--	nn1_jj
to	to	to
overcome	overcome	vvi
the	the	at
combined	combine	jj
odors	odor	nn2
of	of	io
garlic	garlic	nn1
,	,	y
ripe	ripe	jj
cheese	cheese	nn1
,	,	y
tobacco	tobacco	nn1
smoke	smoke	nn1_vv0
,	,	y
and	and	cc
unwashed	unwashed	jj
humans	human	nn2
indigenous	indigenous	jj
to	to	ii
the	the	at
Paris	paris	np1
tube	tube	nn1
.	.	y
Dr.	dr.-i	nnb
Bernard	bernard	np1
Lafay	lafay	np1	
,	,	y
health	health	nn1
minister	minister	nn1
and	and	cc
head	head	nn1
of	of	io
the	the	at
civic	civic	jj
council	council	nn1
,	,	y
puts	put	vvz
it	it	pph1
politely	politely	rr
when	when	cs_rrq
he	he	pphs1
said	say	vvd
it	it	pph1
was	be	vbdz
to	to	to
make	make	vvi
the	the	at
Metro	metro	np1
subway	subway	nn1
"	"	"
more	more	rgr
seductive	seductive	jj
.	.	y
"	"	"
On	on	ii
the	the	at
line	line	nn1
tested	test	vvd_vvn
today	today	rt
,	,	y
each	each	dd1
train	train	nn1
carried	carry	vvd_vvn
a	a	at1
giant	giant	jj_nn1
spray	spray	nn1
which	which	ddq
switched	switch	vvd
on	on	rp
automatically	automatically	rr
as	as	csa_ii
the	the	at
trains	train	nn2
left	leave	vvd_vvn
each	each	dd1
station	station	nn1
,	,	y
spraying	spray	vvg
the	the	at
carnation	carnation	nn1
essence	essence	nn1
in	in	ii
a	a	at1
thin	thin	jj
cloud	cloud	nn1
.	.	y
Two	two	mc
perfumes	perfume	nn2
tried	try	vvd
previously	previously	rr
proved	prove	vvn_vvd
inadequate	inadequate	jj
.	.	y
