@@713612	##	fo
txt	txt	nnu
This	this	dd1
metropolitan	metropolitan	jj
area	area	nn1
of	of	io
.	.	y
nearly	nearly	rr
1,000,000	1,000,000	mc
was	be	vbdz
left	leave	vvn
without	without	iw
public	public	jj
transportation	transportation	nn1
tonight	tonight	rt
when	when	cs_rrq
bus	bus	nn1
drivers	driver	nn2
of	of	io
the	the	at
Niagara	niagara	np1_nn1@
Frontier	frontier	nn1
Transit	transit	nn1
system	system	nn1
reported	report	vvd_vvn
"	"	"
sick	sick	jj_nn1@
.	.	y
"	"	"
The	the	at
company	company	nn1
said	say	vvd
the	the	at
walkout	walkout	nn1
of	of	io
nearly	nearly	rr
1,000	1,000	mc
drivers	driver	nn2
apparently	apparently	rr
stemmed	stem	vvd_vvn@_jj
from	from	ii
bitterness	bitterness	nn1
over	over	ii_rp
a	a	at1
newspaper	newspaper	nn1
story	story	nn1
about	about	ii
how	how	rrq
some	some	dd
drivers	driver	nn2
allegedly	allegedly	rr
made	make	vvn_vvd
"	"	"
side	side	nn1
"	"	"
money	money	nn1
by	by	ii
manipulating	manipulate	vvg
altered	alter	jj
dimes	dime	nn2
.	.	y
The	the	at
company	company	nn1
said	say	vvd
the	the	at
union	union	nn1
had	have	vhd
accused	accuse	vvn
it	it	pph1
of	of	io
giving	give	vvg
information	information	nn1
for	for	if
the	the	at
newspaper	newspaper	nn1
story	story	nn1
to	to	ii
a	a	at1
reporter	reporter	nn1
for	for	if
the	the	at
.	.	y
Buffalo	buffalo	np1_nn1
Courier-Express	courier-express	nn1
.	.	y
The	the	at
story	story	nn1
that	that	cst
caused	cause	vvd
the	the	at
trouble	trouble	nn1
stated	state	vvd_vvn
that	that	cst
some	some	dd
drivers	driver	nn2
had	have	vhd
used	use	vvn
dimes	dime	nn2
which	which	ddq
were	be	vbdr
altered	alter	vvn
to	to	ii
penny	penny	nnu1
size	size	nn1
in	in	ii
making	make	vvg
change	change	nn1_vv0
for	for	if
the	the	at
passengers	passenger	nn2
.	.	y
The	the	at
passengers	passenger	nn2
then	then	rt
put	put	vv0_vvd
the	the	at
altered	alter	jj
dime	dime	nn1
plus	plus	ii
two	two	mc
pennies	penny	nnu2
into	into	ii
the	the	at
coin	coin	nn1
boxes	box	nn2_vvz@
to	to	to
make	make	vvi
up	up	rp_ii@
the	the	at
12	12	mc
cent	cent	nnu1
fare	fare	nn1
.	.	y
Sul	sul	vv0	
the	the	at
coin	coin	nn1
boxes	box	nn2
registered	register	vvd_vvn
the	the	at
coins	coin	nn2
as	as	csa_ii@_rg@
three	three	mc
pennies	penny	nnu2
.	.	y
A	a	at1
driver	driver	nn1
could	could	vm
then	then	rt
hold	hold	vvi
out	out	rp
9	9	mc
cents	cent	nnu2
when	when	cs
he	he	pphs1
turned	turn	vvd
in	in	ii_rp@
his	his	appge
receipts	receipt	nn2
,	,	y
the	the	at
story	story	nn1
said	say	vvd
.	.	y
