@@720542	##	fo
txt	txt	nnu
Use	use	nn1
of	of	io
water	water	nn1
for	for	if
lawn	lawn	nn1
sprinkling	sprinkle	vvg_nn1@
,	,	y
car	car	nn1
washing	washing	nn1_vvg
,	,	y
and	and	cc
similar	similar	jj
uses	use	nn2
has	have	vhz
been	be	vbn
banned	ban	vvn
in	in	ii
Mount	mount	nnl1
Prospect	prospect	np1
until	until	cs_ii@
further	far	jjr@_rrr
notice	notice	nn1_vv0
.	.	y
Harold	harold	np1
Appleby	appleby	np1
,	,	y
village	village	nn1
manager	manager	nn1
,	,	y
,	,	y
blamed	blame	vvd_vvn
a	a	at1
water	water	nn1
shortage	shortage	nn1
in	in	ii
the	the	at
suburb	suburb	nn1
on	on	ii
lack	lack	nn1
of	of	io
rainfall	rainfall	nn1
which	which	ddq
reduced	reduce	vvd
the	the	at
water	water	nn1
level	level	nn1
in	in	ii
wells	well	nn2
and	and	cc
resulted	result	vvd_vvn
in	in	ii
increased	increased	jj
sprinkling	sprinkle	nn1@
.	.	y
A	a	at1_zz1
critical	critical	jj
situation	situation	nn1
developed	develop	vvd_vvn
,	,	y
Appleby	appleby	np1
said	say	vvd
,	,	y
when	when	cs_rrq
one	one	mc1
of	of	io
five	five	mc
wells	well	nn2
was	be	vbdz
taken	take	vvn
out	out	ii21
of	of	ii22
service	service	nn1
for	for	if
repairs	repair	nn2
and	and	cc
another	another	dd1
was	be	vbdz
shut	shut	vvn_jj
,	,	y
off	off	rp
because	because	cs
the	the	at
water	water	nn1
reached	reach	vvd_vvn
a	a	at1
danger	danger	nn1
.	.	y
ously	ously	rr
low	low	jj
level	level	nn1_jj
.	.	y
Restrictions	restriction	nn2
on	on	ii
sprinkling	sprinkle	vvg
also	also	rr
have	have	vh0
been	be	vbn
imposed	impose	vvn
in	in	ii
Des	des	np1
Plaines	plaine	np2
,	,	y
Park	park	np1_nn1
Ridge	ridge	nn1
,	,	y
and	and	cc
Morton	morton	np1
Grove	grove	nn1
.	.	y
In	in	ii
Des	des	np1
Plaines	plaine	np2
,	,	y
two	two	mc
of	of	io
five	five	mc
wells	well	nn2
have	have	vh0
been	be	vbn
taken	take	vvn
nut	nut	nn1
nf	nf	nnu
service	service	nn1
ofor	ofor	nn1
repairs	repair	nn2_vvz
,	,	y
but	but	ccb
a	a	at1
sixth	sixth	md
is	be	vbz
being	be	vbg
dug	dig	vvn@
and	and	cc
is	be	vbz
expected	expect	vvn_jj
to	to	to
relieve	relieve	vvi
the	the	at
shortage	shortage	nn1
.	.	y
In	in	ii
Morton	morton	np1
Grove	grove	nn1
,	,	y
restrictions	restriction	nn2
were	be	vbdr
imposed	impose	vvn
because	because	ii21
of	of	ii22
excessive	excessive	jj
sprinkling	sprinkle	nn1@_vvg
in	in	ii
recent	recent	jj
dry	dry	jj
weather	weather	nn1
,	,	y
a	a	at1
village	village	nn1
official	official	nn1
said	say	vvd
.	.	y
