@@715684	##	fo
txt	txt	nnu
An	an	at1
eye	eye	nn1
specialist	specialist	nn1
was	be	vbdz
located	locate	vvn
in	in	ii
a	a	at1
remote	remote	jj
section	section	nn1
of	of	io
Colorado	colorado	np1
today	today	rt
after	after	ii_cs
aid	aid	nn1
of	of	io
news	news	nn1
services	service	nn2
and	and	cc
radio	radio	nn1
networks	network	nn2
was	be	vbdz
enlisted	enlist	vvn
by	by	ii
James	james	np1
Thurber	thurber	np1
,	,	y
author	author	nn1
and	and	cc
cartoonist	cartoonist	nn1
.	.	y
Thurber	thurber	np1@_nn1
's	's	ge
wife	wife	nn1
has	have	vhz
been	be	vbn
stricken	stricken	jj
with	with	iw
a	a	at1
serious	serious	jj
eye	eye	nn1
ailment	ailment	nn1
.	.	y
The	the	at
writer	writer	nn1
asked	ask	vvd_vvn@
for	for	if
help	help	nn1
following	follow	vvg_ii@_nn1@
failure	failure	nn1
of	of	io
his	his	appge
own	own	da
efforts	effort	nn2
to	to	to
reach	reach	vvi
Dr.	dr.-i	nnb
Gordon	gordon	np1
Bruce	bruce	np1
:	:	y
For	for	if
years	year	nnt2
Dr.	dr.-i	nnb
Bruce	bruce	np1
has	have	vhz
treated	treat	vvn
Thurber	thurber	np1_nn1
,	,	y
who	who	pnqs
himself	himself	ppx1
is	be	vbz
nearly	nearly	rr
blind	blind	jj_vv0@
.	.	y
Thurber	thurber	np1@_nn1
said	say	vvd
his	his	appge
wife	wife	nn1
had	have	vhd
become	become	vvn@
afflicted	afflict	vvn_jj
with	with	iw
a	a	at1
partially	partially	rr
detached	detached	jj_vvn
retina	retina	nn1
on	on	ii
the	the	at
left	left	jj
eye	eye	nn1
Thursday	thursday	npd1
and	and	cc
her	her	appge
right	right	jj_nn1
eye	eye	nn1
developed	develop	vvd_vvn
the	the	at
same	same	da
trouble	trouble	nn1
Saturday	saturday	npd1
.	.	y
Dr.	dr.-i	nnb
Bruce	bruce	np1
,	,	y
found	find	vvn
by	by	ii
the	the	at
Associated	associate	jj
Press	press	nn1
near	near	ii
Parshall	parshall	np1
,	,	y
west	west	nd1
of	of	io
Denver	denver	np1
,	,	y
prepared	prepare	vvn_jj_vvd@
to	to	to
fly	fly	vvi
east	east	nd1
tomorrow	tomorrow	rt
.	.	y
