@@267356	##	fo
Faced	face	vvn_vvd
with	with	iw
a	a	at1
steady	steady	jj
decline	decline	nn1
in	in	ii
its	its	appge
foreign-exchange	foreign-exchange	nn1
reserves	reserve	nn2_vvz@
as	as	csa_rg@
nervous	nervous	jj
investors	investor	nn2
pulled	pull	vvd_vvn
their	their	appge
money	money	nn1
out	out	ii21
of	of	ii22
South	south	np1
Africa	africa	np1
,	,	y
Prime	prime	jj
Minister	minister	nn1
Verwoerd	verwoerd	np1
's	's	ge
government	government	nn1
last	last	md
week	week	nnt1
took	take	vvd
drastic	drastic	jj
measures	measure	nn2
.	.	y
<P>	<p>	null	
It	it	pph1
forbade	forbid	vvd
foreign	foreign	jj
shareholders	shareholder	nn2
to	to	to
sell	sell	vvi
out	out	rp
to	to	ii
South	south	np1
Africans	african	nn2
,	,	y
prohibited	prohibit	vvd_jj
South	south	np1
Africans	african	nn2
from	from	ii
buying	buy	vvg_nn1
stock	stock	nn1
abroad	abroad	rl
.	.	y
Since	since	cs
no	no	at
sane	sane	jj
foreign	foreign	jj
investor	investor	nn1
is	be	vbz
likely	likely	jj
to	to	to
risk	risk	vvi
his	his	appge
money	money	nn1
in	in	ii
the	the	at
future	future	nn1_jj
on	on	ii
such	such	da
a	a	at1
oneway	oneway	nn1
street	street	nn1
,	,	y
South	south	np1
African	african	jj
industry	industry	nn1
will	will	vm
now	now	rt
have	have	vhi
to	to	to
rely	rely	vvi
solely	solely	rr
on	on	ii
the	the	at
nation	nation	nn1
's	's	ge
already	already	rr
pinched	pinched	jj_vvn
capital	capital	nn1_jj@
market	market	nn1_vv0
for	for	if
new	new	jj
funds	fund	nn2
.	.	y
The	the	at
announcement	announcement	nn1
came	come	vvd
only	only	rr
two	two	mc
weeks	week	nnt2
after	after	ii_cs
South	south	np1
Africa	africa	np1
had	have	vhd
inserted	insert	vvn
a	a	at1
lavish	lavish	jj
,	,	y
24-page	24-page	jj_nn1
booklet	booklet	nn1
into	into	ii
the	the	at
Sunday	sunday	np1@_npd1
New	new	np1
York	york	np1
Times	time	nnt2
,	,	y
advertising	advertise	vvg@
its	its	appge
"	"	"
favorable	favorable	jj
investment	investment	nn1
climate	climate	nn1
"	"	"
and	and	cc
pointing	point	vvg
out	out	rp
the	the	at
bargains	bargain	nn2
available	available	jj
,	,	y
since	since	cs
"	"	"
stocks	stock	nn2
have	have	vh0
reached	reach	vvn
new	new	jj
highs	high	nn2
on	on	ii
every	every	at1
exchange	exchange	nn1
in	in	ii
the	the	at
free	free	jj
world	world	nn1
with	with	iw
one	one	mc1
exception	exception	nn1
,	,	y
the	the	at
Johannesburg	johannesburg	np1
Stock	stock	nn1
Exchange	exchange	nn1
.	.	y
"	"	"
