@@311397	##	fo
BASEBALL	baseball	nn1
'S	be	vbz_ge
BEST	best	rrt_jjt
<P>	<p>	null	
AMERICAN	american	jj
LEAGUE	league	nn1
<P>	<p>	null	
TEAM	team	nn1_vv0@
:	:	y
Chicago	chicago	np1
(	(	y
by	by	ii
game	game	nn1
)	)	y
<P>	<p>	null	
PITCHER	pitcher	np1
:	:	y
Hall	hall	nn1_np1@
,	,	y
Kansas	kansas	np1
City	city	nn1
(	(	y
4-0	4-0	mcmc
)	)	y
<P>	<p>	null	
BATTER	batter	vv0_nn1
:	:	y
Runnels	runnel	nn2
,	,	y
Boston	boston	np1
(	(	y
.356	.356	mc
)	)	y
<P>	<p>	null	
HR	hr	nnu
:	:	y
Lemon	lemon	nn1
,	,	y
Washington	washington	np1
(	(	y
9	9	mc
)	)	y
<P>	<p>	null	
RBI	rbi	np1	
:	:	y
Skowron	skowron	np1_nn1	
,	,	y
New	new	np1
York	york	np1
(	(	y
24	24	mc
)	)	y
<P>	<p>	null	
NATIONAL	national	jj
LEAGUE	league	nn1
<P>	<p>	null	
TEAM	team	nn1_vv0@
:	:	y
Pittsburgh	pittsburgh	np1
(	(	y
by	by	ii
1	1	mc1
games	game	nn2
)	)	y
<P>	<p>	null	
PITCHER	pitcher	np1
:	:	y
Law	law	nn1
,	,	y
Pittsburgh	pittsburgh	np1
(	(	y
6-1	6-1	mcmc
)	)	y
<P>	<p>	null	
BATTER	batter	vv0_nn1
:	:	y
Clemente	clemente	np1_nn1
,	,	y
Pittsburgh	pittsburgh	np1
;	;	y
Burgess	burgess	np1
,	,	y
Pittsburgh	pittsburgh	np1
(	(	y
.377	.377	mc	
)	)	y
HR	hr	nnu
:	:	y
Aaron	aaron	np1
,	,	y
Milwaukee	milwaukee	np1
;	;	y
Banks	bank	nn2_np1@
,	,	y
Chicago	chicago	np1
;	;	y
McCovey	mccovey	np1
,	,	y
San	san	np1
Francisco	francisco	np1
(	(	y
9	9	mc
)	)	y
<P>	<p>	null	
RBI	rbi	np1	
:	:	y
Clemente	clemente	np1_nn1
,	,	y
Pittsburgh	pittsburgh	np1
(	(	y
32	32	mc
)	)	y
