@@212134	##	fo
The	the	at
annual	annual	jj
report	report	nn1
on	on	ii
the	the	at
Harvard	harvard	np1
Law	law	nn1
School	school	nn1
to	to	ii
University	university	nn1
President	president	nnb
Nathan	nathan	np1
Pusey	pusey	np1
has	have	vhz
just	just	rr
been	be	vbn
published	publish	vvn
.	.	y
An	an	at1
excerpt	excerpt	nn1
:	:	y
"	"	"
More	more	rrr_dar
and	and	cc
more	more	dar
law	law	nn1
school	school	nn1
faculties	faculty	nn2
have	have	vh0
come	come	vvn
to	to	to
be	be	vbi
looked	look	vvn
on	on	rp@
as	as	csa_ii@
quarries	quarry	nn2
from	from	ii
which	which	ddq
persons	person	nn2
may	may	vm
be	be	vbi
chosen	choose	vvn
for	for	if
important	important	jj
posts	post	nn2
in	in	ii
public	public	jj
service	service	nn1
.	.	y
On	on	ii
numerous	numerous	jj
occasions	occasion	nn2
they	they	pphs2
have	have	vh0
left	leave	vvn
the	the	at
Law	law	nn1
School	school	nn1
faculty	faculty	nn1
,	,	y
often	often	rr
on	on	ii_rp@
very	very	rg
short	short	jj
notice	notice	nn1
.	.	y
But	but	ccb
the	the	at
process	process	nn1
is	be	vbz
difficult	difficult	jj
.	.	y
The	the	at
disruption	disruption	nn1
is	be	vbz
considerable	considerable	jj
,	,	y
and	and	cc
one	one	pn1
may	may	vm
be	be	vbi
pardoned	pardon	vvn
for	for	if
wishing	wish	vvg
at	at	ii
times	time	nnt2
that	that	cst
his	his	appge
faculty	faculty	nn1
was	be	vbdz
somewhat	somewhat	rr
less	less	rgr
attractive	attractive	jj
to	to	ii
the	the	at
practical	practical	jj
world	world	nn1
.	.	y
"	"	"
<P>	<p>	null	
Author	author	nn1
of	of	io
the	the	at
report	report	nn1
:	:	y
Dean	dean	np1
Erwin	erwin	np1
Griswold	griswold	np1
,	,	y
newly	newly	rr
chosen	choose	vvn
by	by	ii
President	president	nnb
Johnson	johnson	np1
to	to	to
be	be	vbi
U.S.	u.s.-	np1
Solicitor	solicitor	nn1
General	general	nn1
.	.	y
