@@207354	##	fo
Hardly	hardly	rr
any	any	dd
anniversary	anniversary	nn1
of	of	io
the	the	at
old	old	jj
Bolsheviks	bolshevik	nn2
passes	pass	vvz
Pravda	pravda	np1
by	by	ii_rp%
.	.	y
But	but	ccb
it	it	pph1
is	be	vbz
the	the	at
custom	custom	nn1
in	in	ii
Moscow	moscow	np1
these	these	dd2
days	day	nnt2
to	to	to
skip	skip	vvi
the	the	at
in-between	in-between	ii
birthdays	birthday	nn2
and	and	cc
mark	mark	vvi
only	only	rr
the	the	at
decades	decade	nnt2
.	.	y
So	so	rr
it	it	pph1
was	be	vbdz
last	last	md
week	week	nnt1
that	that	cst
Nikita	nikita	np1
Sergeevich	sergeevich	np1
Khrushchev	khrushchev	np1
's	's	ge
69th	69th	md
birthday	birthday	nn1
was	be	vbdz
totally	totally	rr
ignored	ignore	vvn
by	by	ii
the	the	at
Communist	communist	jj
party	party	nn1
press	press	nn1
.	.	y
Everyone	everyone	pn1
was	be	vbdz
waiting	wait	vvg
until	until	ii@_cs
next	next	md
year	year	nnt1
,	,	y
when	when	cs_rrq
they	they	pphs2
could	could	vm
wander	wander	vvi
down	down	rp
to	to	ii
Red	red	np1
Square	square	nnl1
and	and	cc
cheer	cheer	vvi
for	for	if
his	his	appge
Biblical	biblical	jj
allotment	allotment	nn1
.	.	y
