@@215716	##	fo
The	the	at
cover	cover	nn1
of	of	io
the	the	at
New	new	np1
York	york	np1
Review	review	nn1
of	of	io
Books	book	nn2
,	,	y
a	a	at1
biweekly	biweekly	rr
publication	publication	nn1
that	that	cst
offers	offer	vvz@_nn2
highly	highly	rr
literate	literate	jj
book	book	nn1
reviews	review	vvz_nn2
to	to	ii_to
highly	highly	rr
literate	literate	jj
readers	reader	nn2
,	,	y
normally	normally	rr
carries	carry	vvz
nothing	nothing	pn1
more	more	dar
than	than	csn
large-type	large-type	jj	
announcements	announcement	nn2
of	of	io
what	what	ddq
is	be	vbz
inside	inside	rl
.	.	y
What	what	ddq
is	be	vbz
inside	inside	rl
is	be	vbz
words	word	nn2
,	,	y
with	with	iw
a	a	at1
sprinkling	sprinkle	nn1@
of	of	io
pen-and-ink	pen-and-ink	jj_nn1
caricatures	caricature	nn2
with	with	iw
oversized	oversized	jj@
heads	head	nn2
by	by	ii
David	david	np1
Levin	levin	np1
.	.	y
Last	last	md
week	week	nnt1
,	,	y
to	to	ii
the	the	at
wondering	wonder	jj%_vvg_nn1%
eyes	eye	nn2
of	of	io
its	its	appge
white	white	jj_nn1@
,	,	y
middle-class	middle-class	jj
readers	reader	nn2
,	,	y
Review	review	np1@_nn1
devoted	devote	vvd@
the	the	at
lower	low	jjr_rrr@
third	third	md
of	of	io
a	a	at1
cover	cover	nn1
dealing	deal	vvg
with	with	iw
books	book	nn2
on	on	ii
Negro	negro	nn1
rebellion	rebellion	nn1
to	to	ii
a	a	at1
detailed	detailed	jj
,	,	y
do-it-yourself	do-it-yourself	jj_nn1
diagram	diagram	nn1
of	of	io
a	a	at1
Molotov	molotov	np1
cocktail	cocktail	nn1
.	.	y
Some	some	dd
were	be	vbdr
amused	amused	jj_vvn@
,	,	y
some	some	dd
were	be	vbdr
startled	startle	vvn_jj
,	,	y
none	none	pn
were	be	vbdr
likely	likely	jj_rr@
to	to	to
make	make	vvi
much	much	da1
use	use	nn1
of	of	io
the	the	at
blueprint	blueprint	nn1
.	.	y
What	what	ddq
was	be	vbdz
meant	mean	vvn
to	to	to
give	give	vvi
everybody	everybody	pn1
a	a	at1
bang	bang	nn1@
turned	turn	vvd_vvn
out	out	rp
to	to	to
be	be	vbi
just	just	rr
a	a	at1
little	little	jj
pop	pop	nn1
art	art	nn1
.	.	y
