@@269148	##	fo
East	east	np1
Germany	germany	np1
was	be	vbdz
also	also	rr
forced	force	vvn
into	into	ii
a	a	at1
galling	galling	jj
admission	admission	nn1
of	of	io
its	its	appge
economic	economic	jj
straits	strait	nn2
.	.	y
Only	only	rr
five	five	mc
months	month	nnt2
after	after	ii_cs
Walter	walter	np1
Ulbricht	ulbricht	np1
's	's	ge
cock-a-hoop	cock-a-hoop	jj_nn1
announcement	announcement	nn1
that	that	cst
his	his	appge
regime	regime	nn1
was	be	vbdz
tightening	tighten	vvg
its	its	appge
economic	economic	jj
links	link	nn2
with	with	iw
the	the	at
rest	rest	nn1
of	of	io
the	the	at
Soviet	soviet	jj
bloc	bloc	nn1
in	in	bcl21
order	order	bcl22
to	to	to
reduce	reduce	vvi
its	its	appge
dependence	dependence	nn1
on	on	ii
the	the	at
West	west	nd1
,	,	y
East	east	np1
Germany	germany	np1
asked	ask	vvd
Bonn	bonn	np1
for	for	if
a	a	at1
ten-year	ten-year	nnt1_jj
,	,	y
$687	$687	nnu
million	million	m
credit	credit	nn1
to	to	to
be	be	vbi
used	use	vvn
for	for	if
coal	coal	nn1
,	,	y
machinery	machinery	nn1
and	and	cc
food	food	nn1
.	.	y
The	the	at
request	request	nn1
suggested	suggest	vvd_vvn
that	that	cst
Russia	russia	np1
can	can	vm
not	not	xx
be	be	vbi
openhanded	openhanded	vvn@
toward	toward	ii
East	east	np1
Germany	germany	np1
without	without	iw
causing	cause	vvg
serious	serious	jj
damage	damage	nn1
to	to	ii
its	its	appge
own	own	da
economy	economy	nn1
.	.	y
<P>	<p>	null	
There	there	ex
was	be	vbdz
grim	grim	jj
irony	irony	nn1
in	in	ii
the	the	at
Ulbricht	ulbricht	np1
regime	regime	nn1
's	be	vbz_ge
asking	ask	vvg
for	for	if
help	help	nn1
from	from	ii
Konrad	konrad	np1
Adenauer	adenauer	np1
while	while	cs
it	it	pph1
continues	continue	vvz
to	to	to
attack	attack	vvi
West	west	np1
Germany	germany	np1
as	as	csa_rg@_ii@
fascist	fascist	jj
and	and	cc
keeps	keep	vvz
shooting	shoot	vvg_nn1
down	down	rp_ii@
East	east	np1
Germans	german	nn2
trying	try	vvg
to	to	to
escape	escape	vvi
to	to	ii
the	the	at
West	west	nd1
.	.	y
But	but	ccb
Bonn	bonn	np1
is	be	vbz
inclined	inclined	jj
to	to	to
grant	grant	vvi
the	the	at
request	request	nn1
as	as	ii
a	a	at1
means	mean	nn
of	of	io
delaying	delay	vvg_nn1
East	east	np1
Germany	germany	np1
's	's	ge
complete	complete	jj
integration	integration	nn1
with	with	iw
the	the	at
Communist	communist	jj
bloc	bloc	nn1
and	and	cc
as	as	ii_csa
a	a	at1
possible	possible	jj
way	way	nn1
to	to	to
exact	exact	vvi
guarantees	guarantee	nn2
of	of	io
free	free	jj
Allied	allied	jj
access	access	nn1
to	to	ii
West	west	np1
Berlin	berlin	np1
.	.	y
