@@209042	##	fo
Who	who	pnqs
's	be	vbz
afraid	afraid	jj
of	of	io
Virginia	virginia	np1
Woolf	woolf	np1
?	?	y
Not	not	xx
high-minded	high-minded	jj
Smith	smith	np1_nn1%
College	college	nn1
.	.	y
Despite	despite	ii
the	the	at
unflattering	unflattering	jj
references	reference	nn2
to	to	ii
the	the	at
fictional	fictional	jj
school	school	nn1
in	in	ii
Edward	edward	np1
Albee	albee	np1
's	's	ge
hit	hit	nn1@_vvn_jj%
play	play	nn1
(	(	y
"	"	"
Musical	musical	jj
beds	bed	nn2
is	be	vbz
the	the	at
faculty	faculty	nn1
sport	sport	nn1
here	here	rl
"	"	"
)	)	y
,	,	y
Smith	smith	np1
is	be	vbz
allowing	allow	vvg
Elizabeth	elizabeth	np1
Taylor	taylor	np1
and	and	cc
Richard	richard	np1
Burton	burton	np1
the	the	at
run	run	nn1
of	of	io
the	the	at
campus	campus	nn1
for	for	if
exteriors	exterior	nn2
in	in	ii
the	the	at
screen	screen	nn1
version	version	nn1
of	of	io
Virginia	virginia	np1
Woolf	woolf	np1
.	.	y
Explained	explain	vvn_vvd
a	a	at1
Smith	smith	np1_nn1%
official	official	nn1_jj
:	:	y
"	"	"
As	as	ii_csa
an	an	at1
educational	educational	jj
institution	institution	nn1
we	we	ppis2
did	do	vdd
n't	n't	xx
feel	feel	vvi
we	we	ppis2
could	could	vm
conscientiously	conscientiously	rr
bar	bar	vvi
them	them	ppho2
from	from	ii
our	our	appge
premises	premise	nn2
.	.	y
"	"	"
A	a	zz1_at1
Northampton	northampton	np1
chamber	chamber	nn1
of	of	io
commerce	commerce	nn1
official	official	nn1
was	be	vbdz
also	also	rr
unafraid	unafraid	vvn
:	:	y
<P>	<p>	null	
"	"	"
We	we	ppis2
're	be	vbr
glad	glad	jj
to	to	to
cooperate	cooperate	vvi
with	with	iw
business	business	nn1
people	people	nn
,	,	y
real	real	jj
craftsmen	craftsman	nn2
who	who	pnqs
say	say	vv0
they	they	pphs2
expect	expect	vv0
to	to	to
spend	spend	vvi
$150,000	$150,000	nnu
here	here	rl
,	,	y
all	all	db
told	tell	vvn
.	.	y
"	"	"
