@@269041	##	fo
Detroit	detroit	np1
's	's	ge
seventh	seventh	md
newspaper	newspaper	nn1
strike	strike	nn1_vv0
in	in	ii_rp@
as	as	rg@
many	many	da2
years	year	nnt2
ended	end	vvd_vvn
last	last	md
week	week	nnt1
,	,	y
after	after	ii_cs
28	28	mc
newspaperless	newspaperless	jj
days	day	nnt2
.	.	y
As	as	rr21
usual	usual	rr22
,	,	y
everybody	everybody	pn1
was	be	vbdz
a	a	at1
loser	loser	nn1
:	:	y
the	the	at
settlement	settlement	nn1
represented	represent	vvd_vvn
a	a	at1
compromise	compromise	nn1
that	that	cst
made	make	vvd
neither	neither	dd1_rr
side	side	nn1
very	very	rg
happy	happy	jj
,	,	y
and	and	cc
the	the	at
city	city	nn1
's	's	ge
readers	reader	nn2
were	be	vbdr
faced	face	vvn
with	with	iw
the	the	at
unpleasant	unpleasant	jj
chore	chore	nn1
of	of	io
catching	catch	vvg
up	up	rp
on	on	ii
events	event	nn2
that	that	cst
had	have	vhd
slipped	slip	vvn
past	past	ii
them	them	ppho2
during	during	ii
the	the	at
last	last	md
month	month	nnt1
.	.	y
Meantime	meantime	nnt1_rr@
,	,	y
in	in	ii
Minneapolis	minneapolis	np1
,	,	y
the	the	at
strike	strike	nn1
against	against	ii
the	the	at
Star	star	nn1
and	and	cc
Tribune	tribune	nn1
TIME	time	nnt1
,	,	y
May	may	npm1
11	11	mc
entered	enter	vvd
its	its	appge
fifth	fifth	md
week	week	nnt1
,	,	y
with	with	iw
the	the	at
end	end	nn1
not	not	xx
yet	yet	rr
in	in	ii
sight	sight	nn1
.	.	y
