@@291647	##	fo
Nostalgia	nostalgia	nn1
is	be	vbz
Broadway	broadway	np1_nn1
's	's	ge
top	top	jj_nn1
growth	growth	nn1
industry	industry	nn1
.	.	y
And	and	cc
how	how	rrq
could	could	vm
a	a	at1
stroll	stroll	nn1
down	down	ii@_rp
the	the	at
fond	fond	jj
memory	memory	nn1
lane	lane	nn1
of	of	io
great	great	jj
musicals	musical	nn2
be	be	vbi
complete	complete	jj
without	without	iw
a	a	at1
revival	revival	nn1
of	of	io
Rodgers	rodgers	np1
and	and	cc
Hammerstein	hammerstein	np1
's	's	ge
The	the	at
King	king	nn1
and	and	cc
I	i	ppis1
?	?	y
The	the	at
first	first	md
and	and	cc
only	only	jj
true	true	jj
King	king	nn1
,	,	y
Yul	yul	np1
Brynner	brynner	np1
,	,	y
still	still	rr
rules	rule	vvz@
the	the	at
stage	stage	nn1
in	in	ii
the	the	at
way	way	nn1
that	that	cst
a	a	at1
mountain	mountain	nn1
peak	peak	nn1
dominates	dominate	vvz
its	its	appge
surroundings	surroundings	nn2
,	,	y
and	and	cc
he	he	pphs1
has	have	vhz
proved	prove	vvn
as	as	csa_rg@_ii@
immutable	immutable	jj
in	in	ii
appearance	appearance	nn1
.	.	y
Audiences	audience	nn2
have	have	vh0
been	be	vbn
humming	hum	vvg
the	the	at
enduring	enduring	jj
,	,	y
enchanting	enchanting	jj
score	score	nn1
ever	ever	rr
since	since	cs_ii@
the	the	at
opening	opening	nn1_jj@
night	night	nnt1
of	of	io
26	26	mc
years	year	nnt2
ago	ago	ra
.	.	y
This	this	dd1
production	production	nn1
dwarfs	dwarf	vvz@_nn2
recent	recent	jj
musicals	musical	nn2
in	in	ii
its	its	appge
opulence	opulence	nn1
.	.	y
The	the	at
dances	dance	nn2
,	,	y
originally	originally	rr
choreographed	choreograph	vvn
by	by	ii
Jerome	jerome	np1
Robbins	robbins	np1
,	,	y
are	be	vbr
drolly	drolly	rr
captivating	captivating	jj
.	.	y
Constance	constance	np1
Towers	tower	np1
'	'	ge
Anna	anna	np1
is	be	vbz
singularly	singularly	rr
lovely	lovely	jj
in	in	ii
voice	voice	nn1
,	,	y
mood	mood	nn1
and	and	cc
bearing	bear	vvg_nn1@
.	.	y
To	to	ii
an	an	at1
age	age	nn1
that	that	cst_dd1
is	be	vbz
brazenly	brazenly	rr
explicit	explicit	jj
about	about	ii
sex	sex	nn1
,	,	y
The	the	at
King	king	nn1
and	and	cc
I	i	ppis1_zz1%
brings	bring	vvz
the	the	at
veiled	veiled	jj
,	,	y
beguiling	beguiling	jj
reticence	reticence	nn1
of	of	io
old-fashioned	old-fashioned	jj
romance	romance	nn1
.	.	y
