@@285463	##	fo
Americans	american	nn2
traditionally	traditionally	rr
do	do	vd0
not	not	xx
get	get	vvi
very	very	rg
excited	excite	jj
about	about	ii
mid-term	mid-term	jj	
congressional	congressional	jj
elections	election	nn2
,	,	y
and	and	cc
their	their	appge
performance	performance	nn1
last	last	md
November	november	npm1
was	be	vbdz
no	no	at
exception	exception	nn1
.	.	y
According	according	ii21
to	to	ii22
a	a	at1
sampling	sampling	nn1
by	by	ii
the	the	at
U.S.	u.s.-	np1
Bureau	bureau	nn1
of	of	io
the	the	at
Census	census	nn1
,	,	y
of	of	io
the	the	at
141	141	mc
million	million	m
persons	person	nn2
who	who	pnqs
were	be	vbdr
eligible	eligible	jj
to	to	to
vote	vote	vvi
,	,	y
only	only	rr
62%	62%	nnu
registered	register	jj_vvn_vvd
and	and	cc
45%	45%	nnu
exercised	exercise	vvn_vvd@
their	their	appge
franchise	franchise	nn1
.	.	y
It	it	pph1
was	be	vbdz
particularly	particularly	rr
disappointing	disappointing	jj_vvg@
that	that	cst_dd1
only	only	rr_jj
21%	21%	nnu
of	of	io
Americans	american	nn2
be	be	vbi
tween	tween	jj_nn1
18	18	mc
and	and	cc
20	20	mc
bothered	bother	jj_vvd_vvn
to	to	to
cast	cast	vvi
their	their	appge
ballots	ballot	nn2
,	,	y
thereby	thereby	rr
mocking	mock	vvg@
the	the	at
lengthy	lengthy	jj
campaign	campaign	nn1
that	that	cst
finally	finally	rr
in	in	ii
1972	1972	mc
gave	give	vvd
all	all	db
18-year-olds	18-year-olds	nn2
the	the	at
right	right	nn1
to	to	to
vote	vote	vvi
.	.	y
