@@282082	##	fo
When	when	rrq_cs
Henry	henry	np1
Ford	ford	np1
II	ii	mc
was	be	vbdz
feted	fete	vvn@
in	in	ii
Moscow	moscow	np1
last	last	md
month	month	nnt1
,	,	y
and	and	cc
invited	invite	vvd_vvn
to	to	to
help	help	vvi
build	build	vvi
a	a	at1
Soviet	soviet	jj
truck	truck	nn1
plant	plant	nn1
,	,	y
one	one	mc1
unknown	unknown	jj
factor	factor	nn1
was	be	vbdz
what	what	ddq
the	the	at
Nixon	nixon	np1
Administration	administration	nn1
's	's	ge
ultimate	ultimate	jj
attitude	attitude	nn1
would	would	vm
be	be	vbi
.	.	y
Last	last	md
week	week	nnt1
Defense	defense	nn1
Secretary	secretary	nn1_np1@
Melvin	melvin	np1
Laird	laird	np1
delivered	deliver	vvd
a	a	at1
blunt	blunt	jj
answer	answer	nn1
:	:	y
"	"	"
I	i	ppis1
am	be	vbm
against	against	ii
exporting	export	vvg
American	american	jj
technology	technology	nn1
to	to	ii
the	the	at
Soviet	soviet	jj
Union	union	nn1
while	while	cs
they	they	pphs2
are	be	vbr
sending	send	vvg
trucks	truck	nn2
to	to	ii
North	north	np1
Vietnam	vietnam	np1
.	.	y
"	"	"
Ford	ford	np1
had	have	vhd
already	already	rr
rejected	reject	vvn
a	a	at1
similar	similar	jj
Laird	laird	nn1
comment	comment	nn1_vv0
as	as	csa
"	"	"
not	not	xx
only	only	rr
highly	highly	rr
misleading	misleading	jj
,	,	y
but	but	ccb
also	also	rr
a	a	at1
gratuitous	gratuitous	jj
attack	attack	nn1
upon	upon	ii
my	my	appge
common	common	jj
sense	sense	nn1
and	and	cc
patriotism	patriotism	nn1
.	.	y
"	"	"
Last	last	md
week	week	nnt1
,	,	y
however	however	rr
,	,	y
at	at	ii
the	the	at
company	company	nn1
's	's	ge
annual	annual	jj
meeting	meeting	nn1
,	,	y
he	he	pphs1
unhappily	unhappily	rr
bowed	bow	vvn_vvd
to	to	ii
the	the	at
Administration	administration	nn1
and	and	cc
announced	announce	vvn
that	that	cst
the	the	at
deal	deal	nn1
was	be	vbdz
off	off	rp
.	.	y
Ford	ford	np1_nn1
is	be	vbz
still	still	rr
considering	consider	vvg_ii_cs
"	"	"
other	other	jj
Soviet	soviet	jj
proposals	proposal	nn2
for	for	if
technical	technical	jj
cooperation	cooperation	nn1
"	"	"
- presumably	--presumably	rr	
on	on	ii
less	less	rgr_dar
sensitive	sensitive	jj
matters	matter	nn2
than	than	csn
trucks	truck	nn2
.	.	y
