@@292345	##	fo
FICTION	fiction	nn1
:	:	y
Airships	airship	np1_nn2	
,	,	y
Barry	barry	np1
Hannah	hannah	np1
<P>	<p>	null	
Final	final	jj_nn1
Payments	payment	nn2
,	,	y
Mary	mary	np1
Gordon	gordon	np1
<P>	<p>	null	
Kalki	kalki	nn2_np1@
,	,	y
Gore	gore	np1
Vidal	vidal	np1
The	the	at
World	world	nn1
According	according	ii21
to	to	ii22
Garp	garp	np1_nn1
,	,	y
John	john	np1
Irving	irving	np1
<P>	<p>	null	
NONFICTION	nonfiction	np1	
:	:	y
And	and	cc
I	i	ppis1
Worked	work	vvd
at	at	ii
the	the	at
Writer	writer	nn1
's	's	ge
Trade	trade	nn1
,	,	y
Malcolm	malcolm	np1
Cowley	cowley	np1
<P>	<p>	null	
A	a	at1_zz1
Place	place	nn1_vv0
for	for	if
Noah	noah	np1
,	,	y
Josh	josh	np1
Greenfeld	greenfeld	np1_nn1
<P>	<p>	null	
Coming	come	vvg
into	into	ii
the	the	at
Country	country	nn1
,	,	y
John	john	np1
McPhee	mcphee	np1
Dispatches	dispatch	nn2
,	,	y
Michael	michael	np1
Herr	herr	nn1
<P>	<p>	null	
Passions	passion	nn2
and	and	cc
Prejudices	prejudice	nn2
,	,	y
Leo	leo	np1
Rosten	rosten	np1
