@@728413	##	fo
txt	txt	nnu
THE	the	at
TRIBUNE	tribune	nn1
today	today	rt
is	be	vbz
offering	offer	vvg
its	its	appge
readers	reader	nn2
an	an	at1
opportunity	opportunity	nn1
to	to	to
voice	voice	vvi
their	their	appge
views	view	nn2
on	on	ii
the	the	at
conspiracy	conspiracy	nn1
trial	trial	nn1
and	and	cc
its	its	appge
outcome	outcome	nn1
.	.	y
The	the	at
controversial	controversial	jj
trial	trial	nn1
has	have	vhz
raised	raise	vvn
questions	question	nn2
challenging	challenge	vvg
the	the	at
system	system	nn1
of	of	io
trial	trial	nn1
justice	justice	nn1
in	in	ii
the	the	at
United	united	np1
States	state	np1
.	.	y
It	it	pph1
has	have	vhz
stirred	stir	vvn
hot	hot	jj
.	.	y
disputes	dispute	nn2
far	far	rr
removed	remove	vvn_vvd
from	from	ii
the	the	at
scene	scene	nn1
of	of	io
the	the	at
trial	trial	nn1
of	of	io
the	the	at
seven	seven	mc
men	man	nn2
accused	accuse	vvn_vvd
of	of	io
precipitating	precipitate	vvg_jj@
riots	riot	nn2
during	during	ii
the	the	at
Democratic	democratic	jj
convention	convention	nn1
in	in	ii
1068	1068	mc
.	.	y
The	the	at
ballot	ballot	nn1
below	below	rl
does	do	vdz
not	not	xx
attempt	attempt	vvi
to	to	to
review	review	vvi
or	or	cc
appraise	appraise	vvi
judgments	judgment	nn2
of	of	io
the	the	at
jurors	juror	nn2
.	.	y
Rather	rather	rr@
it	it	pph1
offers	offer	vvz@
our	our	appge
readers	reader	nn2
an	an	at1
opportunity	opportunity	nn1
to	to	to
register	register	vvi
their	their	appge
reactions	reaction	nn2
to	to	ii
the	the	at
broad	broad	jj
issues	issue	nn2
underlying	underlie	vvg
the	the	at
trial	trial	nn1
.	.	y
