@@291945	##	fo
FICTION	fiction	nn1
:	:	y
Daniel	daniel	np1
Martin	martin	np1
,	,	y
John	john	np1
Fowles	fowles	nn2@	
The	the	at
Honourable	honorable	jj
Schoolboy	schoolboy	nn1
,	,	y
John	john	np1
le	le	fw
Carr	carr	np1
The	the	at
Professor	professor	nn1
of	of	io
Desire	desire	nn1
,	,	y
Philip	philip	np1
Roth	roth	np1
Song	song	nn1
of	of	io
Solomon	solomon	np1
,	,	y
Toni	toni	np1
Morrison	morrison	np1
Transatlantic	transatlantic	jj
Blues	blue	nn2
,	,	y
Wilfrid	wilfrid	np1
Sheed	sheed	np1
<P>	<p>	null	
NONFICTION	nonfiction	np1	
:	:	y
Charles	charles	np1
Dickens	dickens	np1
.	.	y
Edgar	edgar	np1
Johnson	johnson	np1
Coming	come	vvg_nn1@
into	into	ii
the	the	at
Country	country	nn1
,	,	y
John	john	np1
McPhee	mcphee	np1
The	the	at
Diaries	diary	nn2
of	of	io
Evelyn	evelyn	np1
Waugh	waugh	np1
,	,	y
edited	edit	vvn
by	by	ii
Michael	michael	np1
Davie	davie	np1
Dispatches	dispatch	nn2
,	,	y
Michael	michael	np1
Herr	herr	nn1
On	on	ii
Photography	photography	nn1
,	,	y
Susan	susan	np1
Sontag	sontag	np1
