@@290244	##	fo
Three	three	mc
major	major	jj
branches	branch	nn2
of	of	io
world	world	nn1
Christendom	christendom	nn1
have	have	vh0
held	hold	vvn
out	out	rp
against	against	ii
ordaining	ordain	vvg_jj@
women	woman	nn2
to	to	ii
full	full	jj
clergy	clergy	nn2
rank	rank	vv0@_nn1
:	:	y
Roman	roman	jj
Catholicism	catholicism	nn1
,	,	y
Eastern	eastern	jj
Orthodoxy	orthodoxy	nn1
and	and	cc
Anglicanism	anglicanism	nn1
.	.	y
The	the	at
Anglicans	anglican	nn2
have	have	vh0
been	be	vbn
wrestling	wrestle	vvg@
over	over	ii_rp
the	the	at
issue	issue	nn1
,	,	y
however	however	rr
,	,	y
and	and	cc
last	last	md
week	week	nnt1
the	the	at
General	general	jj_nn1
Synod	synod	nn1
of	of	io
the	the	at
Anglican	anglican	jj_nn1
Church	church	nn1
of	of	io
Canada	canada	np1
(	(	y
membership	membership	nn1
:	:	y
1	1	mc1
million	million	m
)	)	y
voted	vote	vvd_vvn
overwhelmingly	overwhelmingly	rr
to	to	to
allow	allow	vvi
female	female	jj_nn1
priests	priest	nn2
.	.	y
The	the	at
breakthrough	breakthrough	nn1
in	in	ii
Canada	canada	np1
is	be	vbz
bound	bind	vvnk
to	to	to
make	make	vvi
waves	wave	nn2
in	in	ii
other	other	jj
provinces	province	nn2
of	of	io
the	the	at
Anglican	anglican	jj_nn1
Communion	communion	nn1
,	,	y
notably	notably	rr
the	the	at
U.S.	u.s.-	np1
Episcopal	episcopal	jj
Church	church	nn1
,	,	y
which	which	ddq
is	be	vbz
deep	deep	rr_jj
in	in	ii
an	an	at1
emotionally	emotionally	rr
charged	charge	vvn_jj@_vvd
debate	debate	nn1
over	over	ii_rp
women	woman	nn2
priests	priest	nn2
and	and	cc
faces	face	vvz
a	a	at1
decision	decision	nn1
on	on	ii
the	the	at
matter	matter	nn1
at	at	ii
its	its	appge
convention	convention	nn1
next	next	md
year	year	nnt1
.	.	y
