@@282887	##	fo
The	the	at
president	president	nn1
of	of	io
the	the	at
New	new	np1
York	york	np1
City	city	nn1
board	board	nn1
of	of	io
education	education	nn1
last	last	md
week	week	nnt1
suggested	suggest	vvd_vvn
a	a	at1
novel	novel	jj_nn1
teacher	teacher	nn1
's	's	ge
aid	aid	nn1
:	:	y
astrology	astrology	nn1
.	.	y
At	at	ii
an	an	at1
educational	educational	jj
forum	forum	nn1
,	,	y
Isaiah	isaiah	np1
E.	e.	np1
Robinson	robinson	np1
said	say	vvd
that	that	cst
"	"	"
if	if	cs
astrology	astrology	nn1
is	be	vbz
correct	correct	jj
,	,	y
"	"	"
some	some	dd
classroom	classroom	nn1
problems	problem	nn2
of	of	io
misbehavior	misbehavior	nn1
may	may	vm
be	be	vbi
caused	cause	vvn
by	by	ii
pupils	pupil	nn2
whose	whose	ddqge
birth	birth	nn1
signs	sign	nn2_vvz@
conflict	conflict	vv0@_nn1
with	with	iw
those	those	dd2
of	of	io
other	other	jj
children	child	nn2
,	,	y
or	or	cc
possibly	possibly	rr
their	their	appge
teachers	teacher	nn2
'	'	ge
.	.	y
It	it	pph1
may	may	vm
be	be	vbi
,	,	y
Robinson	robinson	np1
suggested	suggest	vvd
,	,	y
that	that	cst
teachers	teacher	nn2
should	should	vm
take	take	vvi
the	the	at
planets	planet	nn2
into	into	ii
consideration	consideration	nn1
to	to	to
understand	understand	vvi
the	the	at
kids	kid	nn2
better	better	rrr_jjr
.	.	y
Presumably	presumably	rr
,	,	y
a	a	at1
Taurian	taurian	jj	
heaving	heave	nn1
erasers	eraser	nn2
at	at	ii
an	an	at1
Aquarian	aquarian	nn1	
may	may	vm
have	have	vhi
his	his	appge
cosmic	cosmic	jj
reasons	reason	nn2
.	.	y
