@@315460	##	fo
Two	two	mc
weeks	week	nnt2
ago	ago	ra
,	,	y
Kevin	kevin	np1
Patrick	patrick	np1
Moran	moran	np1
,	,	y
22	22	mc
,	,	y
an	an	at1
honors	honor	nn2
student	student	nn1
at	at	ii
the	the	at
University	university	nn1
of	of	io
California	california	np1
,	,	y
Santa	santa	np1
Barbara	barbara	np1
,	,	y
was	be	vbdz
killed	kill	vvn
by	by	ii
a	a	at1
bullet	bullet	nn1
as	as	csa
he	he	pphs1
attempted	attempt	vvd
to	to	to
put	put	vvi
out	out	rp
a	a	at1
fire	fire	nn1
at	at	ii
the	the	at
beleaguered	beleaguered	jj
Isla	isla	np1
Vista	vista	np1
branch	branch	nn1
of	of	io
Bank	bank	nn1
of	of	io
America	america	np1
(	(	y
TIME	time	nnt1
,	,	y
April	april	npm1
27	27	mc
)	)	y
.	.	y
It	it	pph1
was	be	vbdz
widely	widely	rr
reported	report	vvn_vvd
that	that	cst
he	he	pphs1
had	have	vhd
been	be	vbn
shot	shoot	vvn
by	by	ii
a	a	at1
sniper	sniper	nn1
,	,	y
while	while	cs
he	he	pphs1
and	and	cc
other	other	jj
moderate	moderate	jj
students	student	nn2
dealt	deal	vvd_vvn
directly	directly	rr
with	with	iw
the	the	at
attacking	attack	jj@
radicals	radical	nn2
.	.	y
<P>	<p>	null	
Last	last	md
week	week	nnt1
Santa	santa	np1
Barbara	barbara	np1
County	county	nn1
Sheriff	sheriff	nn1
James	james	np1
Webster	webster	np1
reported	report	vvd
a	a	at1
different	different	jj
version	version	nn1
:	:	y
as	as	csa_ii@
his	his	appge
men	man	nn2
began	begin	vvd
moving	move	vvg
into	into	ii
the	the	at
area	area	nn1
around	around	ii
the	the	at
bank	bank	nn1
to	to	to
disperse	disperse	vvi
the	the	at
students	student	nn2
,	,	y
one	one	mc1
cop	cop	nn1
's	's	ge
rifle	rifle	nn1
went	go	vvd
off	off	rp
accidentally	accidentally	rr
,	,	y
the	the	at
bullet	bullet	nn1
ricocheted	ricochet	vvd
off	off	ii_rp
the	the	at
ground	ground	nn1
and	and	cc
may	may	vm
have	have	vhi
killed	kill	vvn
Moran	moran	np1
.	.	y
To	to	to
dispel	dispel	vvi
any	any	dd
whitewash	whitewash	nn1_vv0
charges	charge	nn2
,	,	y
Webster	webster	np1
promised	promise	vvd
a	a	at1
televised	televised	jj
inquest	inquest	nn1
into	into	ii
the	the	at
death	death	nn1
.	.	y
