@@346346	##	fo
For	for	if
a	a	at1
second	second	md
week	week	nnt1
,	,	y
Israel	israel	np1
continued	continue	vvd
its	its	appge
artillery	artillery	nn1
and	and	cc
air	air	nn1
attacks	attack	nn2_vvz@
on	on	ii
villages	village	nn2
controlled	control	vvn
by	by	ii
Shi'ite	shi'ite	jj
Hizballah	hizballah	nn1@_np1	
guerrillas	guerrilla	nn2
in	in	ii
southern	southern	jj
Lebanon	lebanon	np1
.	.	y
So	so	rg
far	far	rr
,	,	y
24	24	mc
people	people	nn
have	have	vh0
been	be	vbn
killed	kill	vvn
and	and	cc
59	59	mc
wounded	wound	jj_vvd_vvn
.	.	y
Fighting	fight	nn1
began	begin	vvd
after	after	ii_cs
guerrillas	guerrilla	nn2
attacked	attack	vvd_vvn
Israel	israel	np1
's	's	ge
"	"	"
security	security	nn1
zone	zone	nn1
"	"	"
inside	inside	ii
the	the	at
Lebanese	lebanese	jj
border	border	nn1
.	.	y
Arab	arab	jj_nn1
assailants	assailant	nn2
meanwhile	meanwhile	rr
stabbed	stab	vvd_vvn
two	two	mc
Israelis	israeli	nn2
to	to	ii
death	death	nn1
,	,	y
a	a	at1
15-year-old	15-year-old	jj
schoolgirl	schoolgirl	nn1
near	near	ii
Tel	tel	np1
Aviv	aviv	np1
and	and	cc
a	a	at1
rabbi	rabbi	nn1
in	in	ii
the	the	at
Gaza	gaza	np1
Strip	strip	nn1
.	.	y
Both	both	db2
murders	murder	nn2
sparked	spark	vvd_vvn
anti-Arab	anti-arab	jj_nn1
riots	riot	nn2
by	by	ii
Israelis	israeli	nn2
.	.	y
Defense	defense	nn1
Minister	minister	nn1
Moshe	moshe	np1
Arens	arens	np1
ordered	order	vvd
the	the	at
Strip	strip	nn1
sealed	seal	vvd_vvn
off	off	rp
,	,	y
restricting	restrict	vvg
700,000	700,000	mc
Palestinians	palestinian	nn2
to	to	ii
the	the	at
area	area	nn1
.	.	y
