@@348940	##	fo
A	a	rr21@_at1
lot	lot	rr22_nn1
,	,	y
at	at	rr21
least	least	rr22
for	for	if
the	the	at
2	2	mc
million	million	m
residents	resident	nn2
of	of	io
Macedonia	macedonia	np1
.	.	y
For	for	if
more	more	dar
than	than	csn
a	a	at1
year	year	nnt1
,	,	y
Greece	greece	np1
has	have	vhz
blocked	block	vvn
this	this	dd1_rg%
newly	newly	rr
independent	independent	jj
nation	nation	nn1
,	,	y
with	with	iw
its	its	appge
capital	capital	nn1
in	in	ii
Skopje	skopje	np1
,	,	y
from	from	ii
joining	join	vvg
the	the	at
U.N	un	np1
.	.	y
by	by	ii
arguing	argue	vvg
that	that	cst
its	its	appge
name	name	nn1
implies	imply	vvz
a	a	at1
territorial	territorial	jj
claim	claim	nn1
on	on	ii
a	a	at1
province	province	nn1
of	of	io
northeastern	northeastern	jj
Greece	greece	np1
also	also	rr
called	call	vvn_vvd@
Macedonia	macedonia	np1
.	.	y
The	the	at
two	two	mc
sides	side	nn2
have	have	vh0
now	now	rt
struck	strike	vvn
an	an	at1
acceptable	acceptable	jj
,	,	y
if	if	cs
somewhat	somewhat	rr
ponderous	ponderous	jj
,	,	y
compromise	compromise	vv0_nn1
:	:	y
Macedonia	macedonia	np1
will	will	vm
be	be	vbi
admitted	admit	vvn
as	as	ii_csa
the	the	at
Former	former	da
Yugoslav	yugoslav	jj
Republic	republic	nn1
of	of	io
Macedonia	macedonia	np1
.	.	y
Its	its	appge
flag	flag	nn1
,	,	y
which	which	ddq
Greece	greece	np1
considers	consider	vvz
an	an	at1
emblem	emblem	nn1
of	of	io
Skopje	skopje	np1
's	's	ge
claim	claim	nn1
to	to	ii
Greek	greek	jj_nn1
Macedonia	macedonia	np1
,	,	y
will	will	vm
be	be	vbi
barred	bar	vvn
from	from	ii
flying	fly	vvg_nn1
at	at	ii
U.N	un	np1
.	.	y
sites	site	nn2
.	.	y
