@@341965	##	fo
The	the	at
casting	casting	nn1
contretemps	contretemps	nn
over	over	ii
Miss	miss	nnb
Saigon	saigon	np1
may	may	vm
have	have	vhi
been	be	vbn
resolved	resolve	vvn
,	,	y
but	but	ccb
the	the	at
reverberations	reverberation	nn2
continue	continue	vv0
.	.	y
When	when	cs_rrq
American	american	jj
actor	actor	nn1
Ken	ken	np1
Page	page	nn1_np1@
was	be	vbdz
cast	cast	vvn
as	as	csa_ii@
God	god	np1
in	in	ii
the	the	at
forthcoming	forthcoming	jj
London	london	np1
musical	musical	jj
Children	child	nn2
of	of	io
Eden	eden	np1
,	,	y
the	the	at
British	british	jj
actors	actor	nn2
'	'	ge
union	union	nn1
prepared	prepare	vvn_vvd@
to	to	to
lodge	lodge	vvi
an	an	at1
official	official	jj
protest	protest	nn1
.	.	y
How	how	rrq
could	could	vm
audiences	audience	nn2
accept	accept	vvi
a	a	at1
Yank	yank	nn1
as	as	ii_csa
the	the	at
Almighty	almighty	jj
?	?	y
Director	director	nn1
John	john	np1
Caird	caird	np1
countered	counter	vvd
that	that	cst
he	he	pphs1
had	have	vhd
auditioned	audition	vvn
British	british	jj
actors	actor	nn2
for	for	if
the	the	at
part	part	nn1
,	,	y
and	and	cc
all	all	db
were	be	vbdr
,	,	y
well	well	rr
,	,	y
inadequate	inadequate	jj
.	.	y
British	british	jj
Equity	equity	nn1
backed	back	vvd_vvn
off	off	rp
,	,	y
but	but	ccb
an	an	at1
official	official	nn1_jj
noted	note	vvd_vvn
dryly	dryly	rr
that	that	cst
the	the	at
union	union	nn1
"	"	"
welcomes	welcome	vvz
talented	talented	jj
foreign	foreign	jj
artists	artist	nn2
working	work	vvg
in	in	ii_rp@
our	our	appge
country	country	nn1
even	even	cs21
when	when	cs22
they	they	pphs2
are	be	vbr
required	require	vvn
to	to	to
play	play	vvi
such	such	da
an	an	at1
obviously	obviously	rr
British	british	jj
part	part	nn1
as	as	csa
God	god	np1
.	.	y
"	"	"
The	the	at
production	production	nn1
will	will	vm
begin	begin	vvi
previews	preview	nn2
with	with	iw
Page	page	nn1
in	in	ii
December	december	npm1
.	.	y
