@@360998	##	fo
Meet	meet	vv0
three	three	mc
blind	blind	jj
mice	mouse	nn2
:	:	y
an	an	at1
unhappily	unhappily	rr
married	married	jj_vvn@
thirtysomething	thirtysomething	jj@_nn1@_vvg
couple	couple	nn1
 -- 	--	nn1
he	he	pphs1
's	be	vbz
a	a	at1
nearly	nearly	rr
successful	successful	jj
actor	actor	nn1
,	,	y
she	she	pphs1
's	be	vbz
an	an	at1
actress	actress	nn1
ignominiously	ignominiously	rr
turned	turn	vvn
brownie	brownie	nn1
baker	baker	nn1
 -- 	--	nn1
and	and	cc
their	their	appge
gay	gay	jj
best	best	jjt
friend	friend	nn1
,	,	y
a	a	at1
former	former	da
dancer	dancer	nn1
who	who	pnqs
's	be	vbz
now	now	rt
an	an	at1
ineffectual	ineffectual	jj
social	social	jj
worker	worker	nn1
.	.	y
Smart	smart	np1_jj
and	and	cc
smart-alecky	smart-alecky	jj
,	,	y
none	none	pn
of	of	io
them	them	ppho2
know	know	vv0
how	how	rrq
to	to	to
shift	shift	vvi
the	the	at
course	course	nn1
of	of	io
their	their	appge
sorry	sorry	jj
lives	live	nn2
.	.	y
A	a	at1_zz1
young	young	jj
stranger	stranger	nn1
shows	show	vvz
up	up	rp
at	at	ii
the	the	at
Los	los	np1
Angeles	angeles	np1
bungalow	bungalow	nn1
they	they	pphs2
're	be	vbr
temporarily	temporarily	rr
sharing	share	vvg
.	.	y
Secrets	secret	nn2
are	be	vbr
revealed	reveal	vvn
,	,	y
life	life	nn1
choices	choice	nn2
are	be	vbr
examined	examine	vvn
,	,	y
change	change	nn1_vv0
is	be	vbz
attempted	attempt	vvn_jj
.	.	y
With	with	iw
passion	passion	nn1
and	and	cc
humor	humor	nn1
,	,	y
Grant	grant	np1
's	's	ge_vbz
sinewy	sinewy	jj
off-Broadway	off-broadway	jj_nn1
drama	drama	nn1
digs	dig	nn2
deep	deep	rr
into	into	ii
the	the	at
souls	soul	nn2
of	of	io
characters	character	nn2
whose	whose	ddqge
problems	problem	nn2
are	be	vbr
all	all	db_rr@
too	too	rg
universal	universal	jj
.	.	y
An	an	at1
appealing	appealing	jj
cast	cast	nn1@
performs	perform	vvz
with	with	iw
perfect	perfect	jj
pitch	pitch	nn1
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
William	william	np1
Tynan	tynan	np1
