@@360702	##	fo
When	when	rrq_cs
singer-songwriter	singer-songwriter	jj_nn1
Jonatha	jonatha	np1	
Brooke	brooke	np1
was	be	vbdz
released	release	vvn
from	from	ii
her	her	appge
contract	contract	nn1
with	with	iw
MCA	mca	np1
last	last	md
year	year	nnt1
,	,	y
she	she	pphs1
did	do	vdd
n't	n't	xx
fret	fret	vvi
 -- 	--	nn1_jj
she	she	pphs1
went	go	vvd
online	online	rr_jj
.	.	y
Her	her	appge
engaging	engage	jj
new	new	jj
CD	cd	nn1
,	,	y
Jonatha	jonatha	np1	
Brooke	brooke	np1
Live	live	vv0_jj_rr@
,	,	y
is	be	vbz
available	available	jj
for	for	if
mail-order	mail-order	nn1
purchase	purchase	nn1_vv0
exclusively	exclusively	rr
at	at	ii
Brooke	brooke	np1
's	's	ge
website	website	nn1
