@@348332	##	fo
As	as	rg
many	many	da2
as	as	csa
10	10	mc
of	of	io
Clinton	clinton	np1
's	's	ge
13	13	mc
named	name	jj@_vvd
Cabinet	cabinet	nn1
members	member	nn2
could	could	vm
be	be	vbi
millionaires	millionaire	nn2
.	.	y
Reagan	reagan	np1
had	have	vhd
7	7	mc
;	;	y
Bush	bush	np1
had	have	vhd
6	6	mc
.	.	y
<P>	<p>	null	
The	the	at
new	new	jj
team	team	nn1
:	:	y
<P>	<p>	null	
Millionaires	millionaire	nn2
<P>	<p>	null	
Lloyd	lloyd	np1
Bentsen	bentsen	np1
Treasury	treasury	nn1
<P>	<p>	null	
Warren	warren	np1
Christopher	christopher	np1
State	state	nn1
<P>	<p>	null	
Hazel	hazel	np1
O'Leary	o'leary	np1
Energy	energy	nn1
<P>	<p>	null	
Robert	robert	np1
Reich	reich	np1
Labor	labor	nn1
<P>	<p>	null	
Richard	richard	np1
Riley	riley	np1
Education	education	nn1
<P>	<p>	null	
Ronald	ronald	np1
Brown	brown	np1
Commerce	commerce	nn1
<P>	<p>	null	
Possible	possible	jj
Millionaires	millionaire	nn2
<P>	<p>	null	
Bruce	bruce	np1
Babbitt	babbitt	np1
Interior	interior	nn1
<P>	<p>	null	
Jesse	jesse	np1
Brown	brown	np1
Veterans	veteran	nn2
Affairs	affair	nn2
<P>	<p>	null	
Henry	henry	np1
Cisneros	cisneros	np1
Housing	housing	nn1_vvg
and	and	cc
Urban	urban	jj
Development	development	nn1
<P>	<p>	null	
Donna	donna	np1
Shalala	shalala	np1
Health	health	nn1
and	and	cc
Human	human	jj_nn1
Services	service	nn2
<P>	<p>	null	
Not	not	xx
Millionaires	millionaire	nn2
<P>	<p>	null	
Les	les	np1
Aspin	aspin	np1
Defense	defense	nn1
<P>	<p>	null	
Mike	mike	np1
Espy	espy	np1_jj_nn1	
Agriculture	agriculture	nn1
<P>	<p>	null	
Federico	federico	np1@_nn1
Pena	pena	np1
Transportation	transportation	nn1
