@@345645	##	fo
U.N	un	np1
.	.	y
Secretary-General	secretary-general	nn1
BOUTROS	boutros	nn2_np2	
BOUTROS-GHALI	boutros-ghali	nn1	
has	have	vhz
begun	begin	vvn
a	a	at1
much	much	rr
needed	need	vvn_vvd
streamlining	streamline	nn1@_vvg	
of	of	io
the	the	at
organization	organization	nn1
's	's	ge
unwieldy	unwieldy	jj
bureaucracy	bureaucracy	nn1
.	.	y
Among	among	ii
the	the	at
first	first	md
to	to	to
go	go	vvi
was	be	vbdz
Therese	therese	jj
Sevigny	sevigny	nn1_np1_jj	
,	,	y
the	the	at
Canadian	canadian	nn1
who	who	pnqs
headed	head	vvd@
public	public	jj
information	information	nn1
.	.	y
But	but	ccb
that	that	dd1
leaves	leave	vvz
no	no	at
top-ranking	top-ranking	jj
women	woman	nn2
at	at	ii
the	the	at
New	new	np1
York	york	np1
City	city	nn1
mother	mother	nn1
ship	ship	nn1
of	of	io
the	the	at
institution	institution	nn1
that	that	cst_dd1
purports	purport	vvz
to	to	to
represent	represent	vvi
everyone	everyone	pn1
on	on	ii
earth	earth	nn1
.	.	y
Women	woman	nn2
at	at	ii
the	the	at
U.N	un	np1
.	.	y
are	be	vbr
fuming	fume	vvg
.	.	y
The	the	at
U.N	un	np1
.	.	y
charter	charter	vv0@_nn1
clearly	clearly	rr
prohibits	prohibit	vvz
sex	sex	nn1
discrimination	discrimination	nn1
.	.	y
Well	well	rr
,	,	y
it	it	pph1
sounds	sound	vvz
good	good	jj
.	.	y
