@@362396	##	fo
Emmy	emmy	nn1_np1_jj
and	and	cc
her	her	appge
little	little	jj
brother	brother	nn1
Max	max	np1
(	(	y
and	and	cc
with	with	iw
names	name	nn2
like	like	ii
those	those	dd2
,	,	y
you	you	ppy
can	can	vm
bet	bet	vvi
their	their	appge
folks	folk	nn2
are	be	vbr
PBS	pbs	np1
donors	donor	nn2
)	)	y
find	find	vv0
a	a	at1
magic	magic	jj_nn1
dragon	dragon	nn1
scale	scale	nn1
and	and	cc
are	be	vbr
whisked	whisk	vvn
off	off	rp
to	to	ii
Dragon	dragon	nn1
Land	land	nn1_np1
,	,	y
where	where	cs_rrq
they	they	pphs2
encounter	encounter	vv0
a	a	at1
gaggle	gaggle	nn1
of	of	io
warm	warm	jj
,	,	y
goofy	goofy	jj
reptilian	reptilian	jj
friends	friend	nn2
to	to	ii
whom	whom	pnqo
they	they	pphs2
are	be	vbr
just	just	rr
as	as	rg
strange	strange	jj
as	as	csa
the	the	at
monsters	monster	nn2
are	be	vbr
to	to	ii
them	them	ppho2
.	.	y
Besides	besides	ii_rr
fantasy	fantasy	nn1
and	and	cc
rich	rich	jj
,	,	y
hand-painted	hand-painted	jj
scenery	scenery	nn1
,	,	y
this	this	dd1
animated	animated	jj
series	series	nn
offers	offer	vvz@_nn2
an	an	at1
encouraging	encouraging	jj
message	message	nn1
 -- 	--	nn1
do	do	vd0
n't	n't	xx
be	be	vbi
afraid	afraid	jj
of	of	io
new	new	jj
situations	situation	nn2
 -- 	--	nn1_jj
to	to	ii
a	a	at1
young	young	jj
audience	audience	nn1
exploring	explore	vvg
its	its	appge
own	own	da
realm	realm	nn1
of	of	io
freakish	freakish	jj
curiosities	curiosity	nn2
.	.	y
<P>	<p>	null	
 -- 	--	zz
J.P	jp	np1
.	.	y
