@@361599	##	fo
When	when	rrq_cs
a	a	at1
band	band	nn1
sells	sell	vvz
10	10	mc
million	million	m
albums	album	nn2
its	its	appge
first	first	md
time	time	nnt1
around	around	rp
,	,	y
it	it	pph1
ceases	cease	vvz
to	to	to
be	be	vbi
a	a	at1
band	band	nn1
and	and	cc
becomes	become	vvz
a	a	at1
franchise	franchise	nn1
.	.	y
Its	its	appge
objective	objective	nn1_jj
turns	turn	vvz_nn2@
from	from	ii
growth	growth	nn1
to	to	ii
survival	survival	nn1
.	.	y
That	that	dd1
's	be	vbz
surely	surely	rr
what	what	ddq
Millennium	millennium	nnt1
's	's	ge
producers	producer	nn2
were	be	vbdr
thinking	think	vvg
when	when	rrq_cs
they	they	pphs2
decided	decide	vvd
to	to	to
reprise	reprise	vvi
the	the	at
same	same	da
old	old	jj
boy-band	boy-band	jj_nn1
routines	routine	nn2
 -- 	--	nn1_jj
the	the	at
synthetic	synthetic	jj
arrangements	arrangement	nn2
,	,	y
the	the	at
pseudo-soul	pseudo-soul	nn1	
vocals	vocal	nn2
.	.	y
The	the	at
sound	sound	nn1
draws	draw	vvz_nn2
scads	scad	nn2
of	of	io
fans	fan	nn2
,	,	y
but	but	ccb
in	in	ii
the	the	at
year	year	nnt1
since	since	cs_ii@
the	the	at
BB	bb	np1
's	's	ge
debut	debut	nn1
,	,	y
half	half	db_rr@
a	a	at1
dozen	dozen	m
clones	clone	nn2
have	have	vh0
flooded	flood	vvn
the	the	at
market	market	nn1
.	.	y
Millennium	millennium	nnt1
might	might	vm
have	have	vhi
seemed	seem	vvn@
distinctive	distinctive	jj
even	even	rr_nnt1%
,	,	y
if	if	cs
it	it	pph1
had	have	vhd
taken	take	vvn
a	a	at1
fraction	fraction	nn1
of	of	io
a	a	at1
chance	chance	nn1
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
David	david	np1
E.	e.	np1
Thigpen	thigpen	np1
