@@339960	##	fo
Has	have	vhz
a	a	at1
group	group	nn1
of	of	io
murderous	murderous	jj
thugs	thug	nn2
ever	ever	rr
sounded	sound	vvn_vvd
so	so	rg_rr
sweet	sweet	jj
?	?	y
"	"	"
We	we	ppis2
acknowledge	acknowledge	vv0
the	the	at
triumph	triumph	nn1
of	of	io
the	the	at
state	state	nn1
,	,	y
of	of	io
the	the	at
institutions	institution	nn2
and	and	cc
the	the	at
legitimately	legitimately	rr
established	establish	vvn_jj@_vvd
government	government	nn1
,	,	y
"	"	"
said	say	vvd
the	the	at
Extraditables	extraditables	np1	
,	,	y
the	the	at
front	front	jj_nn1
group	group	nn1
for	for	if
Colombia	colombia	np1
's	's	ge
drug	drug	nn1
traffickers	trafficker	nn2
,	,	y
in	in	ii
a	a	at1
communique	communique	nn1
last	last	md
week	week	nnt1
.	.	y
Admitting	admit	jj_vvg
defeat	defeat	nn1
in	in	ii
the	the	at
drug	drug	nn1
war	war	nn1
launched	launch	vvn
by	by	ii
President	president	nnb
Virgilio	virgilio	np1
Barco	barco	np1
Vargas	vargas	np2
five	five	mc
months	month	nnt2
ago	ago	ra
,	,	y
the	the	at
narcolords	narcolords	nn2	
pledged	pledge	vvd_vvn
to	to	to
surrender	surrender	vvi
their	their	appge
arms	arm	nn2
and	and	cc
abandon	abandon	vvi
their	their	appge
trade	trade	nn1
if	if	cs
granted	grant	vvn
"	"	"
legal	legal	jj
guarantees	guarantee	nn2
.	.	y
"	"	"
Translation	translation	nn1
:	:	y
immunity	immunity	nn1
from	from	ii
prosecution	prosecution	nn1
for	for	if
the	the	at
spasm	spasm	nn1
of	of	io
violence	violence	nn1
they	they	pphs2
committed	commit	vvd@_vvn
in	in	ii31
response	response	ii32
to	to	ii33
Barco	barco	np1
's	's	ge
crackdown	crackdown	nn1
,	,	y
and	and	cc
freedom	freedom	nn1
from	from	ii
extradition	extradition	nn1
to	to	ii
the	the	at
U.S.	u.s.-	np1
<P>	<p>	null	
The	the	at
cocaine	cocaine	nn1
gangs	gang	nn2
have	have	vh0
made	make	vvn
peace	peace	nn1
offers	offer	nn2_vvz@
before	before	rt
,	,	y
but	but	ccb
the	the	at
Colombian	colombian	nn1_jj
,	,	y
government	government	nn1
has	have	vhz
never	never	rr
bought	buy	vvn
them	them	ppho2
.	.	y
The	the	at
day	day	nnt1
after	after	ii_cs
the	the	at
Extraditables	extraditables	np1	
issued	issue	vvd
their	their	appge
statement	statement	nn1
through	through	ii
two	two	mc
kidnaping	kidnaping	jj@_vvg	
victims	victim	nn2
they	they	pphs2
had	have	vhd
released	release	vvn
,	,	y
Barco	barco	np1
's	's	ge
administration	administration	nn1
rejected	reject	vvd_vvn
the	the	at
dope	dope	nn1
dealers	dealer	nn2
'	'	ge
overture	overture	nn1
,	,	y
telling	tell	vvg
them	them	ppho2
to	to	to
save	save	vvi
it	it	pph1
for	for	if
the	the	at
judge	judge	nn1
.	.	y
