@@341263	##	fo
The	the	at
chubby	chubby	jj
girl	girl	nn1
with	with	iw
the	the	at
baby	baby	nn1
face	face	nn1_vv0
so	so	rr
impressed	impress	vvd_vvn
the	the	at
late	late	jj
maestro	maestro	nn1
Herbert	herbert	np1
von	von	np1
Karajan	karajan	np1
that	that	cst
he	he	pphs1
described	describe	vvd
her	her	appge
talent	talent	nn1
as	as	ii
a	a	at1
"	"	"
miracle	miracle	nn1
.	.	y
"	"	"
Thirteen	thirteen	mc
years	year	nnt2
after	after	ii_cs
her	her	appge
concert	concert	nn1
debut	debut	nn1
with	with	iw
the	the	at
Berlin	berlin	np1
Philharmonic	philharmonic	jj
,	,	y
wunderkind	wunderkind	vv0_nn1
ANNE-SOPHIE	anne-sophie	np1	
MUTTER	mutter	np1
is	be	vbz
still	still	jj@_rr
wunderbar	wunderbar	nn1
.	.	y
At	at	ii
27	27	mc
she	she	pphs1
has	have	vhz
matured	mature	vvn
into	into	ii
one	one	mc1
of	of	io
the	the	at
world	world	nn1
's	's	ge
finest	fine	jjt
violinists	violinist	nn2
.	.	y
On	on	ii
a	a	at1
demanding	demanding	jj@
schedule	schedule	nn1
,	,	y
she	she	pphs1
has	have	vhz
already	already	rr
played	play	vvn
her	her	appge
way	way	nn1
around	around	ii
the	the	at
globe	globe	nn1
this	this	dd1
year	year	nnt1
,	,	y
traveling	travel	vvg
with	with	iw
her	her	appge_ppho1
two	two	mc
prized	prize	jj
Stradivarius	stradivarius	nn1@_np1
violins	violin	nn2
,	,	y
her	her	appge
bow	bow	nn1
and	and	cc
her	her	appge
signature	signature	nn1
strapless	strapless	jj
designer	designer	nn1
dresses	dress	nn2
.	.	y
