@@348037	##	fo
TEAM	team	nn1
SPIRIT	spirit	nn1
IN	in	ii
THE	the	at
CLINTON	clinton	np1
CAMP	camp	nn1_np1@
IS	be	vbz
SHOWING	show	vvg
STRAINS	strain	nn2_vvz	
AS	as	ii_csa
the	the	at
key	key	jj_nn1
players	player	nn2
jockey	jockey	vv0@_nn1
for	for	if
positions	position	nn2
in	in	ii
Washington	washington	np1
.	.	y
DEE	dee	fu
DEE	dee	fu
MYERS	myers	np1
had	have	vhd
been	be	vbn
mentioned	mention	vvn
for	for	if
press	press	nn1
secretary	secretary	nn1
,	,	y
but	but	ccb
insiders	insider	nn2
say	say	vv0
that	that	cst
George	george	np1
Stephanopoulos	stephanopoulos	np2
has	have	vhz
become	become	vvn@
very	very	rg
fond	fond	jj
of	of	io
TV	tv	nn1
exposure	exposure	nn1
and	and	cc
the	the	at
mountains	mountain	nn2
of	of	io
fan	fan	nn1
mail	mail	nn1
he	he	pphs1
attracts	attract	vvz
.	.	y
And	and	cc
what	what	ddq
about	about	ii
Paul	paul	np1
Begala	begala	np1
and	and	cc
Mark	mark	np1
Gearan	gearan	np1_nn1
?	?	y
Transition	transition	nn1
Central	central	jj
has	have	vhz
really	really	rr
cleared	clear	vvn
things	thing	nn2
up	up	rp
by	by	ii
telling	tell	vvg
all	all	db
four	four	mc
that	that	cst
they	they	pphs2
will	will	vm
be	be	vbi
part	part	nn1
of	of	io
Clinton	clinton	np1
's	's	ge
Office	office	nn1
of	of	io
the	the	at
President	president	nn1
.	.	y
Staff	staff	nn_vv0@
members	member	nn2
have	have	vh0
been	be	vbn
sniping	snipe	vvg
that	that	cst
Myers	myers	np1
"	"	"
does	do	vdz
n't	n't	xx
look	look	vvi
the	the	at
part	part	nn1
of	of	io
a	a	at1
White	white	np1
House	house	nn1
press	press	nn1_vv0
secretary	secretary	nn1
.	.	y
"	"	"
Translation	translation	nn1
:	:	y
she	she	pphs1
's	be	vbz
a	a	at1
she	she	pphs1
.	.	y
