@@341065	##	fo
MASTER	master	nn1
BUILDING	building	nn1_vvg@
ON	on	ii
THE	the	at
INSTALLMENT	installment	nn1_np1
PLAN	plan	nn1_vv0
.	.	y
Mike	mike	np1
Dukakis	dukakis	np1
and	and	cc
Rob	rob	np1
Lowe	lowe	np1
are	be	vbr
n't	n't	xx
the	the	at
only	only	jj
ones	one	nn2
with	with	iw
bittersweet	bittersweet	jj
memories	memory	nn2
of	of	io
the	the	at
1988	1988	mc
Democratic	democratic	jj
National	national	jj
Convention	convention	nn1
in	in	ii
Atlanta	atlanta	np1
.	.	y
For	for	if
two	two	mc
years	year	nnt2
,	,	y
visitors	visitor	nn2
to	to	ii
that	that	dd1
city	city	nn1
have	have	vh0
been	be	vbn
paying	pay	vvg
a	a	at1
2	2	mc
cents	cent	nnu2
surcharge	surcharge	vv0_nn1
on	on	ii
hotel	hotel	nn1
and	and	cc
motel	motel	nn1
rooms	room	nn2
to	to	to
retire	retire	vvi
the	the	at
$15	$15	nnu
million	million	m
tab	tab	nn1
for	for	if
hosting	host	vvg
the	the	at
party	party	nn1
.	.	y
Two	two	mc
weeks	week	nnt2
ago	ago	ra
that	that	dd1_cst
magic	magic	jj_nn1
sum	sum	nn1
was	be	vbdz
attained	attain	vvn
,	,	y
but	but	ccb
the	the	at
surcharge	surcharge	nn1
remains	remain	vvz
;	;	y
now	now	rt
the	the	at
goal	goal	nn1
is	be	vbz
to	to	to
help	help	vvi
pay	pay	nn1_vv0
for	for	if
the	the	at
$210	$210	nnu
million	million	m
Georgia	georgia	np1
Dome	dome	nn1
,	,	y
a	a	at1
spanking	spank	jj@
new	new	jj
facility	facility	nn1
that	that	cst_dd1
will	will	vm
host	host	vvi
the	the	at
1994	1994	mc
Super	super	jj
Bowl	bowl	nn1
.	.	y
