@@347938	##	fo
THEY	they	pphs2
DO	do	vd0
N'T	n't	xx
JUST	just	rr
ROB	rob	vvi	
BANKS	bank	nn2
,	,	y
THEY	they	pphs2
ASSAULT	assault	vv0@	
THEM	them	ppho2
 -- 	--	zz
FIRING	fire	nn1_vvg
wildly	wildly	rr
,	,	y
leaping	leap	vvg
over	over	rp_ii
counters	counter	nn2
,	,	y
fondling	fondle	vvg
the	the	at
women	woman	nn2
,	,	y
shooting	shoot	vvg
at	at	ii
the	the	at
men	man	nn2
.	.	y
The	the	at
FBI	fbi	np1
believes	believe	vvz
the	the	at
new	new	jj
bank	bank	nn1
terrorists	terrorist	nn2
are	be	vbr
L.A.	l.a.-	np1
GANG	gang	nn1
MEMBERS	member	nn2
who	who	pnqs
pulled	pull	vvd
off	off	rp
193	193	mc
heists	heist	nn2
last	last	md
year	year	nnt1
and	and	cc
363	363	mc
so	so	rg
far	far	rr
this	this	dd1
year	year	nnt1
.	.	y
Agents	agent	nn2
dubbed	dub	vvn_vvd@
the	the	at
first	first	md
duo	duo	nn1
they	they	pphs2
arrested	arrest	vvd@
the	the	at
Nasty	nasty	jj
Boys	boy	nn2
,	,	y
who	who	pnqs
are	be	vbr
thought	think	vvn
to	to	to
have	have	vhi
robbed	rob	vvn
$800,000	$800,000	nnu
from	from	ii
28	28	mc
banks	bank	nn2
since	since	ii@_cs
October	october	npm1
1991	1991	mc
.	.	y
The	the	at
pair	pair	nn
,	,	y
Clarence	clarence	np1
Sanders	sanders	np1
,	,	y
21	21	mc
,	,	y
and	and	cc
Harold	harold	np1
Walden	walden	np1
,	,	y
19	19	mc
,	,	y
were	be	vbdr
convicted	convict	vvn_jj
of	of	io
five	five	mc
of	of	io
the	the	at
robberies	robbery	nn2
in	in	ii
November	november	npm1
.	.	y
Prosecutors	prosecutor	nn2
and	and	cc
the	the	at
FBI	fbi	np1
expect	expect	vv0
the	the	at
two	two	mc
to	to	to
get	get	vvi
the	the	at
maximum	maximum	jj_nn1
penalty	penalty	nn1
of	of	io
75	75	mc
years	year	nnt2
apiece	apiece	ra
when	when	cs_rrq
they	they	pphs2
appear	appear	vv0
for	for	if
sentencing	sentence	vvg_jj_nn1
next	next	md
month	month	nnt1
.	.	y
<P>	<p>	null	
