@@351099	##	fo
DIED	die	vvd_vvn@
.	.	y
HELEN	helen	np1
WOLFF	wolff	np1
,	,	y
88	88	mc
;	;	y
publisher	publisher	nn1
;	;	y
in	in	ii
Hanover	hanover	np1
,	,	y
New	new	np1
Hampshire	hampshire	np1
.	.	y
Arriving	arrive	vvg
penniless	penniless	jj
as	as	csa
refugees	refugee	nn2
in	in	ii
New	new	np1
York	york	np1
in	in	ii
1941	1941	mc
,	,	y
Wolff	wolff	np1
and	and	cc
her	her	appge
husband	husband	nn1
Kurt	kurt	np1
founded	found	vvd
Pantheon	pantheon	np1_nn1
Books	book	nn2
within	within	ii
a	a	at1
year	year	nnt1
,	,	y
aided	aid	vvn
by	by	ii
their	their	appge
Continental	continental	jj_nn1
credits	credit	nn2
(	(	y
Kurt	kurt	np1
was	be	vbdz
the	the	at
first	first	md
publisher	publisher	nn1
of	of	io
Franz	franz	np1
Kafka	kafka	np1
)	)	y
and	and	cc
Helen	helen	np1
's	's	ge
command	command	nn1
of	of	io
several	several	da2
languages	language	nn2
.	.	y
At	at	ii
Pantheon	pantheon	np1_nn1
and	and	cc
later	later	rrr_jjr
under	under	ii
the	the	at
Harcourt	harcourt	np1
Brace	brace	vv0_nn1
Jovanovich	jovanovich	np1
imprint	imprint	nn1
"	"	"
A	a	zz1
Helen	helen	np1
and	and	cc
Kurt	kurt	np1
Wolff	wolff	np1
Book	book	nn1
,	,	y
"	"	"
she	she	pphs1
introduced	introduce	vvd
Americans	american	nn2
to	to	ii
Boris	boris	np1
Pasternak	pasternak	np1
,	,	y
Gunter	gunter	np1
Grass	grass	nn1
and	and	cc
Umberto	umberto	np1
Eco	eco	np1
.	.	y
