@@340767	##	fo
MIKHAIL	mikhail	np1
GORBACHEV	gorbachev	np1
<P>	<p>	null	
He	he	pphs1
came	come	vvd
to	to	to
preside	preside	vvi
over	over	ii
May	may	np1
Day	day	nnt1
and	and	cc
hustled	hustle	vvn_vvd
off	off	ii_rp
the	the	at
reviewing	review	nn1@
stand	stand	nn1_vv0
as	as	cs21
if	if	cs22
someone	someone	pn1
had	have	vhd
shouted	shout	vvn
"	"	"
Mayday	mayday	nn1_np1
!	!	!
"	"	"
The	the	at
only	only	jj
thing	thing	nn1
not	not	xx
in	in	ii
short	short	jj
supply	supply	nn1
these	these	dd2
days	day	nnt2
is	be	vbz
protest	protest	nn1
.	.	y
