@@348632	##	fo
Strange	strange	jj_np1
tales	tale	nn2
filtered	filter	vvn_vvd
out	out	ii21
of	of	ii22
the	the	at
78-acre	78-acre	jj_nnu1	
compound	compound	nn1
of	of	io
the	the	at
Branch	branch	nn1
Davidian	davidian	jj_nn1@
cult	cult	nn1
near	near	ii
Waco	waco	np1
,	,	y
Texas	texas	np1
,	,	y
but	but	ccb
reports	report	nn2_vvz
of	of	io
possible	possible	jj
mass	mass	jj_nn1
suicide	suicide	nn1
spurred	spur	vvd_vvn
a	a	at1
surprise	surprise	nn1
assault	assault	nn1
on	on	ii
Sunday	sunday	npd1
by	by	ii
the	the	at
Treasury	treasury	nn1
Department	department	nn1
's	's	ge
Bureau	bureau	nn1
of	of	io
Alcohol	alcohol	nn1
,	,	y
Tobacco	tobacco	nn1
and	and	cc
Firearms	firearm	nn2
.	.	y
Prepared	prepare	jj_vvn
,	,	y
cult	cult	nn1
members	member	nn2
killed	kill	vvd_vvn
four	four	mc
feds	fed	nn2
and	and	cc
wounded	wound	vvd_jj_vvn
16	16	mc
.	.	y
During	during	ii
the	the	at
ensuing	ensuing	jj
week	week	nnt1
of	of	io
siege	siege	nn1
,	,	y
leader	leader	nn1
David	david	np1
Koresh	koresh	np1
got	get	vvd
radio	radio	nn1
time	time	nnt1
but	but	ccb
reneged	renege	vvd
on	on	ii_rp@
his	his	appge
promise	promise	nn1
to	to	to
surrender	surrender	vvi
afterward	afterward	rl
.	.	y
Of	of	io
140	140	mc
in	in	ii
the	the	at
compound	compound	nn1
,	,	y
he	he	pphs1
allowed	allow	vvd
23	23	mc
to	to	to
leave	leave	vvi
;	;	y
they	they	pphs2
had	have	vhd
reportedly	reportedly	rr
seen	see	vvn
10	10	mc
dead	dead	rg
inside	inside	rl_jj@
.	.	y
ATF	atf	np1_vv0_nn1
and	and	cc
FBI	fbi	np1
agents	agent	nn2
prepared	prepare	vvn
for	for	if
a	a	at1
long	long	jj
stakeout	stakeout	nn1_vv0
:	:	y
the	the	at
Davidians	davidian	nn2
are	be	vbr
said	say	vvn@
to	to	to
have	have	vhi
massive	massive	jj
stocks	stock	nn2
of	of	io
food	food	nn1
.	.	y
