@@359903	##	fo
As	as	csa
Ann	ann	np1
Lord	lord	np1
,	,	y
65	65	mc
,	,	y
lies	lie	vvz_nn2
withering	wither	vvg_jj
from	from	ii
cancer	cancer	nn1
,	,	y
aware	aware	jj
that	that	cst_dd1
death	death	nn1
is	be	vbz
near	near	rl
,	,	y
the	the	at
memory	memory	nn1
that	that	cst
floats	float	nn2
back	back	nn1_rp
is	be	vbz
not	not	xx
from	from	ii
any	any	dd
of	of	io
her	her	appge
three	three	mc
marriages	marriage	nn2
.	.	y
Rather	rather	rr@_rg
,	,	y
it	it	pph1
is	be	vbz
of	of	io
Lord	lord	np1
's	's	ge
first	first	md
love	love	nn1
,	,	y
a	a	at1
passionate	passionate	jj
affair	affair	nn1
with	with	iw
a	a	at1
young	young	jj
doctor	doctor	nn1
that	that	cst
lasted	last	vvd
only	only	rr
the	the	at
length	length	nn1
of	of	io
a	a	at1
friend	friend	nn1
's	's	ge
weekend	weekend	nnt1
wedding	wedding	nn1
festivities	festivity	nn2
.	.	y
While	while	cs
Lord	lord	np1
's	's	ge
four	four	mc
children	child	nn2
maintain	maintain	vv0
a	a	at1
death	death	nn1
watch	watch	nn1_vv0
,	,	y
she	she	pphs1
relives	relive	vvz
every	every	at1
minute	minute	nnt1
of	of	io
that	that	dd1
fateful	fateful	jj
weekend	weekend	nnt1
and	and	cc
encounters	encounter	vvz_nn2
snippets	snippet	nn2
of	of	io
memory	memory	nn1
from	from	ii
other	other	jj
points	point	nn2
in	in	ii
her	her	appge
life	life	nn1
that	that	cst_dd1
flesh	flesh	nn1
out	out	rp_ii%
the	the	at
affair	affair	nn1
's	's	ge
consequences	consequence	nn2
.	.	y
In	in	ii
her	her	appge
powerful	powerful	jj
third	third	md
novel	novel	nn1_jj
Susan	susan	np1
Minot	minot	np1
mesmerizes	mesmerize	vvz
with	with	iw
her	her	appge_ppho1
convincing	convincing	jj
evocation	evocation	nn1
of	of	io
Lord	lord	np1
's	's	ge
final	final	jj
semiconscious	semiconscious	jj
state	state	nn1
,	,	y
wherein	wherein	rrq
time	time	vv0%_nnt1
and	and	cc
place	place	vv0_nn1
crisscross	crisscross	nn1_vv0
,	,	y
the	the	at
lines	line	nn2
between	between	ii
real	real	jj
and	and	cc
imagined	imagined	jj
blur	blur	nn1
,	,	y
and	and	cc
the	the	at
difference	difference	nn1
between	between	ii
resignation	resignation	nn1
and	and	cc
regret	regret	nn1_vv0
is	be	vbz
indistinguishable	indistinguishable	jj
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Jill	jill	np1
Smolowe	smolowe	np1
