@@348536	##	fo
To	to	ii
New	new	jj
Yorkers	yorkers	np1
,	,	y
DAVID	david	np1
LETTERMAN	letterman	np1_nn1
in	in	ii
Los	los	np1
Angeles	angeles	np1
is	be	vbz
like	like	ii
Joey	joey	np1
Buttafuoco	buttafuoco	np1
in	in	ii
Paris	paris	np1
.	.	y
It	it	pph1
just	just	jj@_rr
ai	ai	fu
n't	n't	xx
right	right	rr_jj
.	.	y
But	but	ccb
despite	despite	ii
Letterman	letterman	np1
's	's	ge
decision	decision	nn1
to	to	to
remain	remain	vvi
in	in	ii
the	the	at
Big	big	jj
Apple	apple	nn1
,	,	y
an	an	at1
inside	inside	jj@_nn1@
source	source	nn1
says	say	vvz
a	a	at1
move	move	nn1
to	to	ii
L.A.	l.a.-	np1
may	may	vm
have	have	vhi
only	only	rr
been	be	vbn
delayed	delay	vvn
.	.	y
The	the	at
latest	late	jjt
scenario	scenario	nn1
:	:	y
Letterman	letterman	np1_nn1
will	will	nn1@_vm
debut	debut	nn1
his	his	appge
new	new	jj
CBS	cbs	np1
show	show	nn1_vv0
in	in	ii
August	august	npm1
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
and	and	cc
take	take	vv0
it	it	pph1
out	out	rp
to	to	ii
L.A.	l.a.-	np1
for	for	if
brief	brief	jj
visits	visit	nn2
,	,	y
and	and	cc
after	after	cs
about	about	rg
a	a	at1
year	year	nnt1
he	he	pphs1
'll	will	vm
decide	decide	vvi
which	which	ddq
coast	coast	nn1
feels	feel	vvz
better	better	rrr_jjr
.	.	y
And	and	cc
what	what	ddq
about	about	ii
the	the	at
4	4	mc
million	million	m
bucks	buck	nn2
CBS	cbs	np1
shelled	shell	vvd
out	out	rp
to	to	to
buy	buy	vvi
New	new	np1
York	york	np1
's	's	ge
Ed	ed	np1
Sullivan	sullivan	np1
Theater	theater	np1_nn1
for	for	if
Dave	dave	np1
?	?	y
Says	say	vvz
the	the	at
source	source	nn1
:	:	y
"	"	"
A	a	zz1_at1@
small	small	jj
amount	amount	nn1
of	of	io
money	money	nn1
in	in	ii
the	the	at
scheme	scheme	nn1
of	of	io
things	thing	nn2
.	.	y
"	"	"
