@@345345	##	fo
The	the	at
job	job	nn1
offers	offer	nn2
and	and	cc
speaking	speak	vvg_jj@
requests	request	nn2
are	be	vbr
pouring	pour	vvg
in	in	rp@
for	for	if
MIKHAIL	mikhail	np1
GORBACHEV	gorbachev	np1
.	.	y
One	one	mc1
of	of	io
the	the	at
more	more	rgr
unlikely	unlikely	jj
gigs	gig	nn2
was	be	vbdz
suggested	suggest	vvn
by	by	ii
a	a	at1
Nevada	nevada	np1
impresario	impresario	nn1
who	who	pnqs
wants	want	vvz
to	to	to
pay	pay	vvi
Gorbachev	gorbachev	np1
$1	$1	nnu
million	million	m
a	a	at1
year	year	nnt1
to	to	to
play	play	vvi
casino	casino	nn1
host	host	nn1
and	and	cc
superflack	superflack	nn1_vv0	
.	.	y
But	but	ccb
House	house	nn1_vv0@
Speaker	speaker	nn1
Tom	tom	np1
Foley	foley	np1
plans	plan	vvz_nn2
to	to	to
make	make	vvi
Gorby	gorby	np1
an	an	at1
offer	offer	nn1
 -- 	--	nn1
and	and	cc
honor	honor	vvi
 -- 	--	nn1_jj
he	he	pphs1
probably	probably	rr
ca	can	vm
n't	n't	xx
refuse	refuse	vvi
:	:	y
an	an	at1
invitation	invitation	nn1
to	to	to
address	address	vvi
a	a	at1
joint	joint	jj
session	session	nnt1
of	of	io
Congress	congress	nn1
.	.	y
Foley	foley	np1
's	's	ge
office	office	nn1
expects	expect	vvz
to	to	to
send	send	vvi
out	out	rp
the	the	at
all-expenses-paid	all-expenses-paid	jj_nn1
bid	bid	nn1
in	in	ii
the	the	at
next	next	md
week	week	nnt1
or	or	cc
so	so	rr
.	.	y
