@@340759	##	fo
EIGHT	eight	mc
IS	be	vbz
NOT	not	xx
ENOUGH	enough	rr
.	.	y
It	it	pph1
was	be	vbdz
not	not	xx
so	so	rg_rr
long	long	rr
ago	ago	ra
that	that	cst
Ted	ted	np1
Turner	turner	np1
found	find	vvd
himself	himself	ppx1
allied	ally	vvn
with	with	iw
Jerry	jerry	np1
Falwell	falwell	np1
and	and	cc
other	other	jj
Moral	moral	jj
Majority	majority	nn1
leaders	leader	nn2
in	in	ii
protesting	protest	vvg_jj@
sex	sex	nn1
and	and	cc
violence	violence	nn1
on	on	ii
TV	tv	nn1
.	.	y
Then	then	rt
something	something	pn1
 -- 	--	zz
God	god	np1_nn1@
knows	know	vvz
what	what	ddq
 -- 	--	nn1
happened	happen	vvd
.	.	y
Last	last	md
year	year	nnt1
Turner	turner	np1
's	's	ge
superstation	superstation	nn1
WTBS	wtbs	np1
banned	ban	vvd
all	all	db_rr@
religious	religious	jj
programming	program	nn1
,	,	y
including	including	ii
Falwell	falwell	np1
's	's	ge
Old-Time	old-time	jj
Gospel	gospel	nn1
Hour	hour	nnt1
.	.	y
Now	now	rt
antiabortion	antiabortion	nn1
activists	activist	nn2
,	,	y
whom	whom	pnqo
the	the	at
cable	cable	nn1
mogul	mogul	nn1
has	have	vhz
publicly	publicly	rr
called	call	vvn
"	"	"
bozos	bozo	nn2
,	,	y
"	"	"
are	be	vbr
furious	furious	jj
because	because	cs
Turner	turner	np1
's	's	ge
CNN	cnn	np1
broadcast	broadcast	vv0
an	an	at1
early	early	jj_rr
National	national	jj
Park	park	nn1
Service	service	nn1
estimate	estimate	nn1
of	of	io
60,000	60,000	mc
supporters	supporter	nn2
at	at	ii
the	the	at
recent	recent	jj
Washington	washington	np1
rally	rally	nn1_vv0
,	,	y
rather	rather	ii21_cs21@
than	than	ii22_cs22@
the	the	at
500,000	500,000	mc
claimed	claim	vvd_vvn
by	by	ii
pro-lifers	pro-lifer	nn2
.	.	y
And	and	cc
,	,	y
accepting	accept	vvg
an	an	at1
award	award	nn1
as	as	csa_ii@
Humanist	humanist	nn1_jj
of	of	io
the	the	at
Year	year	nnt1
at	at	ii
a	a	at1
convention	convention	nn1
in	in	ii
Orlando	orlando	np1
,	,	y
Turner	turner	np1
,	,	y
who	who	pnqs
has	have	vhz
called	call	vvn
Christianity	christianity	nn1
a	a	at1
"	"	"
religion	religion	nn1
for	for	if
losers	loser	nn2
,	,	y
"	"	"
had	have	vhd
some	some	dd
harsh	harsh	jj
words	word	nn2
for	for	if
his	his	appge
own	own	da
upbringing	upbringing	nn1
,	,	y
saying	say	vvg
"	"	"
Religion	religion	nn1
was	be	vbdz
pounded	pound	vvn@
into	into	ii
us	us	ppio2
so	so	rg
much	much	da1
that	that	cst
I	i	ppis1
was	be	vbdz
saved	save	vvn
seven	seven	mc
or	or	cc
eight	eight	mc
times	time	nnt2
.	.	y
"	"	"
