@@347335	##	fo
Take	take	vv0
our	our	appge
word	word	nn1
for	for	if
it	it	pph1
:	:	y
there	there	ex
was	be	vbdz
a	a	at1
time	time	nnt1
when	when	rrq
country-music	country-music	jj_nn1
charts	chart	nn2
did	do	vdd
not	not	xx
mention	mention	vvi
Garth	garth	np1
Brooks	brooks	np1
.	.	y
Those	those	dd2
bygone	bygone	jj
days	day	nnt2
receded	recede	vvd
farther	far	rrr_jjr
into	into	ii
the	the	at
past	past	nn1_jj
at	at	ii
last	last	md
week	week	nnt1
's	's	ge
Country	country	nn1
Music	music	nn1
Association	association	nn1
Awards	award	nn2
,	,	y
where	where	cs_rrq
Brooks	brooks	np1
was	be	vbdz
named	name	vvn_jj@
Entertainer	entertainer	nn1
of	of	io
the	the	at
Year	year	nnt1
and	and	cc
lassoed	lasso	jj@_vvd	
Album	album	nn1
of	of	io
the	the	at
Year	year	nnt1
for	for	if
Ropin	ropin	np1_nn1
'	'	ge
the	the	at
Wind	wind	nn1
.	.	y
