@@341566	##	fo
JOHNNY	johnny	np1
CARSON	carson	np1
<P>	<p>	null	
He	he	pphs1
donated	donate	vvd
$55,000	$55,000	nnu
to	to	ii
a	a	at1
zoo	zoo	nn1
near	near	ii
his	his	appge
hometown	hometown	nn1
of	of	io
Norfolk	norfolk	np1
,	,	y
Neb	neb	np1
.	.	y
Why	why	rrq
?	?	y
Reuben	reuben	np1
,	,	y
7	7	mc
,	,	y
the	the	at
installation	installation	nn1
's	's	ge
only	only	jj
chimp	chimp	nn1
,	,	y
has	have	vhz
outgrown	outgrow	vvn
his	his	appge
temporary	temporary	jj
quarters	quarter	nn2
,	,	y
a	a	at1
fortified	fortify	jj
mobile	mobile	nn1_jj
home	home	rl_nn1
.	.	y
Carson	carson	np1
's	's	ge
largesse	largesse	nn1
will	will	vm
pay	pay	vvi
for	for	if
a	a	at1
permanent	permanent	jj
primate	primate	nn1
exhibit	exhibit	nn1_vv0
 -- 	--	nn1_jj
and	and	cc
perhaps	perhaps	rr
buy	buy	vv0
Reuben	reuben	np1
a	a	at1
female	female	jj_nn1
companion	companion	nn1
.	.	y
