@@341763	##	fo
Saddam	saddam	np1
Hussein	hussein	np1
has	have	vhz
been	be	vbn
called	call	vvn
a	a	at1
lot	lot	nn1
of	of	io
things	thing	nn2
during	during	ii
the	the	at
past	past	jj_nn1
month	month	nnt1
,	,	y
but	but	ccb
at	at	ii
the	the	at
Chicago	chicago	np1
Mercantile	mercantile	np1_jj
Exchange	exchange	nn1
he	he	pphs1
's	be	vbz_vhz@
known	know	vvn
as	as	ii
"	"	"
Mr.	mr.-	nnb
Bonus	bonus	np1
.	.	y
"	"	"
Yearly	yearly	jj_rr
bonuses	bonus	nn2
at	at	ii
the	the	at
Merc	merc	np1_nn1@
are	be	vbr
keyed	key	vvn
to	to	ii
the	the	at
number	number	nn1
of	of	io
broker	broker	nn1
transactions	transaction	nn2
,	,	y
and	and	cc
the	the	at
1990	1990	mc
figures	figure	nn2
were	be	vbdr
looking	look	vvg
grim	grim	jj
 -- 	--	nn1_jj
until	until	cs_ii@
the	the	at
invasion	invasion	nn1
of	of	io
Kuwait	kuwait	np1
stirred	stir	vvd
up	up	rp
huge	huge	jj
action	action	nn1
in	in	ii
Eurodollars	eurodollars	nnu2
and	and	cc
stock-index	stock-index	jj_nn1
futures	future	nn2
.	.	y
