@@347441	##	fo
As	as	csa_ii@
Congress	congress	nn1
wrapped	wrap	vvd_vvn
up	up	rp
its	its	appge
business	business	nn1
last	last	md
week	week	nnt1
,	,	y
effusive	effusive	jj
farewells	farewell	nn2
were	be	vbdr
given	give	vvn
for	for	if
Senators	senator	nn2
and	and	cc
Congressmen	congressmen	nn2_np1
who	who	pnqs
will	will	vm
not	not	xx
be	be	vbi
returning	return	vvg
to	to	ii
Capitol	capitol	np1
Hill	hill	np1
.	.	y
Some	some	dd
kudos	kudos	nn2
fell	fall	vvd
a	a	at1
little	little	jj
flat	flat	nn1_jj
.	.	y
Congressman	congressman	nn1
Bill	bill	np1_nn1
Dannemeyer	dannemeyer	np1_nn1	
,	,	y
improbably	improbably	rr
lauded	laud	vvd_vvn@
as	as	csa_ii@
"	"	"
the	the	at
conscience	conscience	nn1
of	of	io
the	the	at
House	house	nn1
,	,	y
"	"	"
will	will	vm
long	long	vvi
be	be	vbi
remembered	remember	vvn
for	for	if
inserting	insert	vvg
into	into	ii
the	the	at
1989	1989	mc
Congressional	congressional	jj
Record	record	nn1
a	a	at1
description	description	nn1
of	of	io
homosexual	homosexual	jj_nn1
lovemaking	lovemaking	nn1
so	so	rr
meanspirited	meanspirited	vvd_vvn@	
that	that	cst
it	it	pph1
was	be	vbdz
later	later	rrr
excised	excise	vvn_vvd
from	from	ii
the	the	at
permanent	permanent	jj
text	text	nn1
.	.	y
Senator	senator	nnb
Steve	steve	np1
Symms	symms	np2
,	,	y
praised	praise	vvn_vvd
for	for	if
bravely	bravely	rr
defending	defend	vvg
the	the	at
rights	right	nn2
of	of	io
gun	gun	nn1
owners	owner	nn2
,	,	y
is	be	vbz
notable	notable	jj
for	for	if
little	little	da1_rr_jj
else	else	rr
.	.	y
Senator	senator	nnb
Alan	alan	np1
Dixon	dixon	np1
was	be	vbdz
lionized	lionize	vvn@
as	as	csa_ii@
"	"	"
one	one	mc1
of	of	io
the	the	at
most	most	rgt
fiercely	fiercely	rr
independent	independent	jj
Democrats	democrat	nn2
"	"	"
in	in	ii
Congress	congress	nn1
.	.	y
Funny	funny	jj
.	.	y
He	he	pphs1
is	be	vbz
noted	note	vvn
for	for	if
being	be	vbg
so	so	rg_rr
chummy	chummy	jj
with	with	iw
lobbyists	lobbyist	nn2
that	that	cst
he	he	pphs1
is	be	vbz
known	know	vvn
around	around	ii_rp
the	the	at
Hill	hill	nn1_np1
as	as	csa_ii@
"	"	"
Al	al	np1
the	the	at
Pal	pal	nn1
.	.	y
"	"	"
