@@349228	##	fo
CHART	chart	nn1_vv0@
:	:	y
NOT	not	xx
AVAILABLE	available	jj
<P>	<p>	null	
CREDIT	credit	nn1_vv0@
:	:	y
From	from	ii
a	a	at1
telephone	telephone	nn1
poll	poll	nn1
of	of	io
1,000	1,000	mc
American	american	jj
adults	adult	nn2
taken	take	vvn
for	for	cs%_if
TIME/CNN	time/cnn	fu	
on	on	ii
May	may	npm1
12-13	12-13	mcmc
by	by	ii
Yankelovich	yankelovich	np1
Partners	partner	nn2
Inc	inc	jj
.	.	y
Sampling	sample	vvg_nn1
error	error	nn1
is	be	vbz
plus	plus	ii_rr%_nn1@
or	or	cc
minus	minus	ii
3%	3%	nnu
.	.	y
<P>	<p>	null	
CAPTION	caption	nn1
:	:	y
If	if	cs
an	an	at1
investigation	investigation	nn1
indicates	indicate	vvz
that	that	cst
Saddam	saddam	np1
Hussein	hussein	np1
tried	try	vvd
to	to	to
have	have	vhi
George	george	np1
Bush	bush	np1
assassinated	assassinate	vvd
when	when	rrq_cs
Bush	bush	np1
visited	visit	vvd
Kuwait	kuwait	np1
last	last	md
month	month	nnt1
,	,	y
should	should	vm
the	the	at
U.S.	u.s.-	np1
retaliate	retaliate	vvi
militarily	militarily	rr
?	?	y
