@@340960	##	fo
COCA-COLA	coca-cola	np1
<P>	<p>	null	
Its	its	appge
$4	$4	nnu
million	million	m
"	"	"
MagiCan	magican	jj	
"	"	"
campaign	campaign	nn1
 -- 	--	nn1
in	in	ii
which	which	ddq
lucky	lucky	jj
Coke	coke	nn1
cans	can	nn2
produce	produce	vv0
cash	cash	nn1
or	or	cc
coupons	coupon	nn2
 -- 	--	nn1
is	be	vbz
fizzling	fizzle	vvg
.	.	y
Some	some	dd
cans	can	nn2
malfunction	malfunction	nn1
,	,	y
customers	customer	nn2
are	be	vbr
complaining	complain	vvg
,	,	y
and	and	cc
whose	whose	ddqge
idea	idea	nn1
was	be	vbdz
this	this	rg%_dd1
anyway	anyway	rr
?	?	y
