@@346936	##	fo
The	the	at
world	world	nn1
's	's	ge
smallest	small	jjt
battery	battery	nn1
;	;	y
it	it	pph1
is	be	vbz
one	one	pn1_mc1
one-hundredth	one-hundredth	mf
the	the	at
size	size	nn1
of	of	io
a	a	at1
red	red	jj
blood	blood	nn1
cell	cell	nn1
and	and	cc
puts	put	vvz
out	out	rp
twenty	twenty	mc
one-thousandths	one-thousandths	mf
of	of	io
a	a	at1
volt	volt	nnu1
.	.	y
Its	its	appge
terminals	terminal	nn2
are	be	vbr
pillars	pillar	nn2
of	of	io
copper	copper	nn1
and	and	cc
silver	silver	nn1_jj@
atoms	atom	nn2
piled	pile	vvd_vvn
100,000	100,000	mc
high	high	jj
by	by	ii
scientists	scientist	nn2
using	use	vvg
a	a	at1
scanning	scan	nn1@_jj%
tunneling	tunnel	vvg_jj@_nn1@
electron	electron	nn1
microscope	microscope	nn1
.	.	y
