@@341066	##	fo
GORBY	gorby	np1
,	,	y
THE	the	at
NEW	new	jj
AGE	age	nn1
GURU	guru	nn1
?	?	y
Fans	fan	nn2
of	of	io
harmonic	harmonic	jj
convergences	convergence	nn2
and	and	cc
the	the	at
like	like	jj@_nn1%
have	have	vh0
been	be	vbn
noting	note	vvg
Mikhail	mikhail	np1
Gorbachev	gorbachev	np1
's	's	ge
frequent	frequent	jj
use	use	nn1
of	of	io
phrases	phrase	nn2
associated	associate	vvn
with	with	iw
the	the	at
new	new	jj
age	age	nn1
movement	movement	nn1
,	,	y
that	that	dd1_cst
mystical	mystical	jj
,	,	y
universalist	universalist	nn1_jj@
philosophy	philosophy	nn1
that	that	cst_dd1
preaches	preach	vvz
,	,	y
as	as	csa_ii
the	the	at
Soviet	soviet	jj
President	president	nn1
does	do	vdz
,	,	y
of	of	io
the	the	at
need	need	nn1
for	for	if
"	"	"
a	a	at1
new	new	jj
world	world	nn1
order	order	nn1
.	.	y
"	"	"
As	as	csa
he	he	pphs1
said	say	vvd
in	in	ii
California	california	np1
:	:	y
"	"	"
All	all	db
mankind	mankind	nn1
is	be	vbz
entering	enter	vvg
a	a	at1
new	new	jj
age	age	nn1
,	,	y
and	and	cc
world	world	nn1
trends	trend	nn2
are	be	vbr
beginning	begin	vvg
to	to	to
obey	obey	vvi
new	new	jj
laws	law	nn2
and	and	cc
logic	logic	nn1
.	.	y
"	"	"
More	more	rgr_rrr
strikingly	strikingly	rr
,	,	y
he	he	pphs1
held	hold	vvd
a	a	at1
private	private	jj
meeting	meeting	nn1
in	in	ii
Canada	canada	np1
earlier	early	rrr
in	in	ii
the	the	at
week	week	nnt1
with	with	iw
one	one	mc1
of	of	io
the	the	at
leading	leading	jj
gurus	gurus	nn1
of	of	io
the	the	at
new	new	jj
age	age	nn1
movement	movement	nn1
,	,	y
Sri	sri	np1
Chinmoy	chinmoy	np1
,	,	y
who	who	pnqs
read	read	vvd_vv0
him	him	ppho1
a	a	at1
"	"	"
spiritual	spiritual	jj
song	song	nn1
"	"	"
and	and	cc
gave	give	vvd
him	him	ppho1
a	a	at1
volume	volume	nn1
of	of	io
admiring	admire	jj
letters	letter	nn2
.	.	y
