@@346644	##	fo
In	in	ii
the	the	at
sedate	sedate	jj
House	house	nn1
of	of	io
Lords	lord	np
,	,	y
tradition	tradition	nn1
demands	demand	vvz@_nn2
that	that	cst_dd1
maiden	maiden	jj_nn1
speeches	speech	nn2
be	be	vbi
brief	brief	jj
and	and	cc
uncontroversial	uncontroversial	jj
.	.	y
But	but	ccb
not	not	xx
if	if	cs_csw@
former	former	da
Prime	prime	jj
Minister	minister	nn1
Margaret	margaret	np1
Thatcher	thatcher	np1
is	be	vbz
the	the	at
speaker	speaker	nn1
.	.	y
As	as	csa
Baroness	baroness	nnb
Thatcher	thatcher	np1
of	of	io
Kesteven	kesteven	np1	
,	,	y
she	she	pphs1
made	make	vvd
her	her	appge
debut	debut	nn1
with	with	iw
a	a	at1
25-minute	25-minute	jj
fulmination	fulmination	nn1
against	against	ii
the	the	at
European	european	jj
Community	community	nn1
.	.	y
