@@355312	##	fo
The	the	at
destination	destination	nn1
was	be	vbdz
Paris	paris	np1
,	,	y
but	but	ccb
instead	instead	rr
a	a	at1
TWA	twa	np1_nn1
Boeing	boeing	np1
747	747	mc
burst	burst	vvd_vvn_jj_vv0_nn1
into	into	ii
flames	flame	nn2
at	at	ii
dusk	dusk	nnt1
,	,	y
falling	fall	vvg
into	into	ii
the	the	at
sea	sea	nn1
off	off	ii
the	the	at
coast	coast	nn1
of	of	io
New	new	np1
York	york	np1
and	and	cc
setting	set	vvg
its	its	appge
waters	water	nn2
ablaze	ablaze	jj
.	.	y
Now	now	rt
,	,	y
even	even	rr
as	as	csa
America	america	np1
mourns	mourn	vvz
the	the	at
230	230	mc
victims	victim	nn2
,	,	y
the	the	at
country	country	nn1
must	must	vm
discover	discover	vvi
whether	whether	csw
this	this	dd1
catastrophe	catastrophe	nn1
is	be	vbz
the	the	at
latest	late	jjt
angry	angry	jj
assault	assault	nn1
on	on	ii
its	its	appge
soul	soul	nn1
.	.	y
