@@363196	##	fo
In	in	ii
its	its	appge
first	first	md
incarnation	incarnation	nn1
,	,	y
this	this	dd1
revue	revue	nn1
,	,	y
mounted	mount	jj_vvd
off-Broadway	off-broadway	nn1_np1_jj
in	in	ii
1993	1993	mc
,	,	y
suffered	suffer	vvn_vvd
from	from	ii
comparison	comparison	nn1
with	with	iw
its	its	appge
predecessor	predecessor	nn1
,	,	y
the	the	at
plotless	plotless	jj
Side	side	nn1
by	by	ii
Side	side	nn1
by	by	ii
Sondheim	sondheim	np1
,	,	y
which	which	ddq
was	be	vbdz
a	a	at1
joyful	joyful	jj
feast	feast	nn1
of	of	io
the	the	at
composer	composer	nn1
's	's	ge
best	best	jjt
songs	song	nn2
.	.	y
The	the	at
successor	successor	nn1
(	(	y
with	with	iw
Julie	julie	np1
Andrews	andrews	np1
and	and	cc
a	a	at1
mismatched	mismatched	jj@
company	company	nn1
of	of	io
four	four	mc
)	)	y
seemed	seem	vvd
to	to	to
consist	consist	vvi
of	of	io
leftovers	leftover	nn2
garnished	garnish	vvd_vvn@
with	with	iw
Sondheim	sondheim	np1
's	's	ge
less	less	rgr
nourishing	nourishing	jj
material	material	nn1
and	and	cc
served	serve	vvd_vvn
up	up	rp
thematically	thematically	rr
as	as	ii_csa
an	an	at1
odd	odd	jj
sort	sort	nn1
of	of	io
cocktail	cocktail	nn1
party	party	nn1
.	.	y
This	this	dd1
Broadway	broadway	nn1
revise	revise	nn1%_vv0
finds	find	vvz
the	the	at
party	party	nn1
device	device	nn1
strengthened	strengthen	vvd_vvn
,	,	y
but	but	ccb
still	still	rr
forced	force	vvn_vvd_jj
,	,	y
and	and	cc
the	the	at
selection	selection	nn1
of	of	io
songs	song	nn2
improved	improve	vvn_vvd
.	.	y
The	the	at
new	new	jj
cast	cast	nn1@_jj@
,	,	y
led	lead	vvn
by	by	ii
Carol	carol	np1
Burnett	burnett	np1
with	with	iw
great	great	jj
warmth	warmth	nn1
and	and	cc
good	good	jj
humor	humor	nn1
,	,	y
is	be	vbz
creamy	creamy	jj
.	.	y
Yet	yet	rr
this	this	dd1
remains	remain	vvz
a	a	at1
chilly	chilly	jj
pudding	pudding	nn1
of	of	io
a	a	at1
show	show	nn1
that	that	cst_dd1
leaves	leave	vvz
one	one	mc1
admiring	admire	jj_vvg@
Sondheim	sondheim	np1
's	's	ge
artistry	artistry	nn1
and	and	cc
the	the	at
performers	performer	nn2
'	'	ge
panache	panache	nn1
,	,	y
but	but	ccb
still	still	rr
hungry	hungry	jj
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
William	william	np1
Tynan	tynan	np1
