@@343661	##	fo
In	in	ii
Hollywood	hollywood	np1
,	,	y
swollen	swollen	jj
egos	ego	nn2
can	can	vm
lead	lead	vvi
to	to	ii
skyrocketing	skyrocket	vvg_jj@
costs	cost	nn2
.	.	y
Movie-industry	movie-industry	jj_nn1	
insiders	insider	nn2
say	say	vv0
megastar	megastar	nn1
Bruce	bruce	np1
Willis	willis	np1
was	be	vbdz
unhappy	unhappy	jj
with	with	iw
the	the	at
look	look	nn1
of	of	io
his	his	appge
receding	receding	jj@
hairline	hairline	nn1
and	and	cc
bald	bald	jj
spot	spot	nn1
in	in	ii
the	the	at
prints	print	nn2
of	of	io
Hudson	hudson	np1
Hawk	hawk	np1
,	,	y
the	the	at
$45	$45	nnu
million	million	m
action	action	nn1
film	film	nn1
scheduled	schedule	vvn_vvd@
to	to	to
open	open	vvi
next	next	md
week	week	nnt1
.	.	y
So	so	rr
Tri-Star	tri-star	jj@_nn1	
Pictures	picture	nn2
hired	hire	vvd_vvn
a	a	at1
special-effects	special-effects	nn2
firm	firm	jj_nn1_vv0%
to	to	to
retouch	retouch	vvi
every	every	at1
offending	offend	jj_nn1
frame	frame	nn1
.	.	y
