@@341068	##	fo
GEORGE	george	np1
STEINBRENNER	steinbrenner	nn1	
<P>	<p>	null	
Sure	sure	rr
,	,	y
the	the	at
kamikaze	kamikaze	nn1
Yankee	yankee	nn1
owner	owner	nn1
fired	fire	vvd_vvn
Bucky	bucky	jj_np1
Dent	dent	nn1_np1@
,	,	y
his	his	appge
18th	18th	md
manager	manager	nn1
in	in	ii
18	18	mc
years	year	nnt2
.	.	y
But	but	ccb
those	those	dd2
who	who	pnqs
beat	beat	vvd_vv0
up	up	rp
on	on	ii
George	george	np1
ignore	ignore	vv0
his	his	appge
benevolence	benevolence	nn1
:	:	y
he	he	pphs1
now	now	rt
has	have	vhz
four	four	mc
other	other	jj
former	former	da
(	(	y
and	and	cc
fired	fire	vvn_vvd_jj@
)	)	y
managers	manager	nn2
on	on	ii
his	his	appge
payroll	payroll	nn1
.	.	y
