@@351892	##	fo
"	"	"
It	it	pph1
's	be	vbz
different	different	jj
today	today	rt
.	.	y
But	but	ccb
guys	guy	nn2
are	be	vbr
still	still	rr
out	out	rp
there	there	rl
playing	play	vvg
cards	card	nn2
,	,	y
talking	talk	vvg
about	about	ii
good-looking	good-looking	jj
broads	broads	nn2
,	,	y
watching	watch	vvg
Andy	andy	np1
Griffith	griffith	np1
.	.	y
"	"	"
<P>	<p>	null	
 -- 	--	zz
BOSTON	boston	np1
MANAGER	manager	nn1
BUTCH	butch	jj_np1
HOBSON	hobson	nn1_np1
ON	on	ii
THE	the	at
EVE	eve	nnt1
OF	of	io
THE	the	at
BASEBALL	baseball	nn1
STRIKE	strike	nn1_vv0
,	,	y
DESCRIBING	describe	vvg
THE	the	at
ATMOSPHERE	atmosphere	nn1
IN	in	ii
THE	the	at
RED	red	jj_nn1
SOX	sox	nn2
LOCKER	locker	nn1
ROOM	room	nn1
