@@346837	##	fo
Stung	sting	vvn
by	by	ii
heavy	heavy	jj
losses	loss	nn2
and	and	cc
highly	highly	rr
critical	critical	jj
of	of	io
management	management	nn1
,	,	y
many	many	da2
of	of	io
the	the	at
Names	name	nn2
(	(	y
as	as	csa
investors	investor	nn2
are	be	vbr
known	know	vvn
)	)	y
who	who	pnqs
make	make	vv0
up	up	rp
the	the	at
Lloyd	lloyd	np1
's	's	ge
insurance	insurance	nn1
market	market	nn1
had	have	vhd
long	long	rr
demanded	demand	vvn
the	the	at
resignation	resignation	nn1
of	of	io
chairman	chairman	nn1
David	david	np1
Coleridge	coleridge	np1
,	,	y
60	60	mc
.	.	y
Last	last	md
week	week	nnt1
Coleridge	coleridge	np1
stepped	step	vvd
down	down	rp
and	and	cc
nominated	nominate	vvd_vvn
as	as	csa_ii@
his	his	appge
successor	successor	nn1
David	david	np1
Rowland	rowland	np1
,	,	y
58	58	mc
,	,	y
chief	chief	jj_nn1
executive	executive	nn1
of	of	io
the	the	at
Sedgwick	sedgwick	np1
Group	group	nn1
,	,	y
an	an	at1
insurance	insurance	nn1
firm	firm	nn1
.	.	y
Since	since	cs
Rowland	rowland	np1
is	be	vbz
considered	consider	vvn
a	a	at1
close	close	jj
associate	associate	nn1
of	of	io
the	the	at
former	former	da
CEO	ceo	nn1
,	,	y
dissident	dissident	jj_nn1
Names	name	nn2
are	be	vbr
less	less	dar_rrr
than	than	csn
euphoric	euphoric	jj
.	.	y
