@@344063	##	fo
The	the	at
call	call	nn1
from	from	ii
the	the	at
Bush	bush	np1
Administration	administration	nn1
last	last	md
summer	summer	nnt1
was	be	vbdz
tantalizing	tantalize	vvg
.	.	y
Would	would	vm
you	you	ppy
be	be	vbi
interested	interested	jj_vvn%
,	,	y
Federal	federal	jj
Judge	judge	nn1_np1@
Ricardo	ricardo	np1
Hinojosa	hinojosa	np1
was	be	vbdz
asked	ask	vvn@
,	,	y
in	in	ii
a	a	at1
promotion	promotion	nn1
to	to	ii
the	the	at
federal	federal	jj
appeals	appeal	nn2
bench	bench	nn1
?	?	y
Hinojosa	hinojosa	nn1_np1@	
declined	decline	vvn_vvd
but	but	ccb
allowed	allow	vvd_vvn
that	that	cst
he	he	pphs1
would	would	vm
accept	accept	vvi
an	an	at1
ambassadorship	ambassadorship	nn1
instead	instead	rr
.	.	y
Dumbfounded	dumbfound	np1@
,	,	y
his	his	appge
caller	caller	nn1
noted	note	vvd_vvn
that	that	cst
the	the	at
President	president	nn1
might	might	vm
have	have	vhi
more	more	dar_rrr
in	in	ii
mind	mind	nn1
for	for	if
his	his	appge
old	old	jj
Texas	texas	np1
friend	friend	nn1
.	.	y
Hinojosa	hinojosa	np1@_nn1	
did	do	vdd
n't	n't	xx
take	take	vvi
the	the	at
hint	hint	nn1
.	.	y
Thus	thus	rr
when	when	cs
Thurgood	thurgood	np1
Marshall	marshall	np1
retired	retire	vvd
,	,	y
Bush	bush	np1
apparently	apparently	rr
did	do	vdd
n't	n't	xx
feel	feel	vvi
he	he	pphs1
could	could	vm
name	name	vvi
the	the	at
Brownsville	brownsville	np1
judge	judge	nn1_vv0
as	as	ii_csa
the	the	at
first	first	md
Hispanic	hispanic	jj
on	on	ii
the	the	at
Supreme	supreme	jj
Court	court	nn1
.	.	y
"	"	"
If	if	cs
I	i	ppis1
were	be	vbdr
him	him	ppho1
,	,	y
"	"	"
says	say	vvz
a	a	at1
senior	senior	jj
White	white	np1
House	house	nn1
official	official	nn1
,	,	y
"	"	"
I	i	ppis1
'd	have	vm
be	be	vbi
kicking	kick	vvg
myself	myself	ppx1
right	right	rr
now	now	rt
.	.	y
"	"	"
