@@362294	##	fo
The	the	at
words	word	nn2
from	from	ii
the	the	at
movie	movie	nn1
trailer	trailer	nn1
flicker	flicker	nn1_vv0
across	across	ii
the	the	at
small	small	jj
screen	screen	nn1
with	with	iw
quietly	quietly	rr
creepy	creepy	jj
menace	menace	nn1
:	:	y
"	"	"
Six	six	mc
miners	miner	nn2
lost	lose	vvn_vvd
in	in	ii
the	the	at
wilds	wild	nn2
of	of	io
Colorado	colorado	np1
in	in	ii
the	the	at
1870s	1870s	mc2
,	,	y
"	"	"
reads	read	vvz
the	the	at
first	first	md
line	line	nn1
,	,	y
which	which	ddq
dissolves	dissolve	vvz
as	as	ii
a	a	at1
suspenseful	suspenseful	jj
,	,	y
subtonic	subtonic	jj	
noise	noise	nn1
rumbles	rumble	vvz_nn2
from	from	ii
the	the	at
sound	sound	nn1_jj@
track	track	nn1
.	.	y
"	"	"
Five	five	mc
half-eaten	half-eaten	jj
corpses	corpse	nn2
.	.	y
One	one	mc1
survivor	survivor	nn1
and	and	cc
...	....	...
"	"	"
<P>	<p>	null	
"	"	"
...	....	...
seven	seven	mc
great	great	jj
songs	song	nn2
!	!	!
"	"	"
<P>	<p>	null	
Yes	yes	uh
,	,	y
moviegoers	moviegoer	nn2_vvz
,	,	y
it	it	pph1
's	be	vbz
Cannibal	cannibal	nn1
!	!	!
The	the	at
Musical	musical	jj_nn1@
.	.	y
You	you	ppy
know	know	vv0
 -- 	--	nn1_jj
the	the	at
cult-hit	cult-hit	jj	
comedy	comedy	nn1
that	that	cst
the	the	at
creators	creator	nn2
of	of	io
South	south	nd1
Park	park	np1_nn1
made	make	vvd_vvn
when	when	cs_rrq
they	they	pphs2
were	be	vbdr
in	in	ii
film	film	nn1
school	school	nn1
.	.	y
Want	want	vv0
to	to	to
see	see	vvi
it	it	pph1
?	?	y
Forget	forget	vv0
the	the	at
video	video	nn1
store	store	nn1
.	.	y
Simply	simply	rr
mouse	mouse	nn1
on	on	ii_rp@
over	over	rp_nn1%
to	to	ii
