@@350892	##	fo
WINNERS	winner	nn2
<P>	<p>	null	
DAVID	david	np1
LETTERMAN	letterman	np1	
'S	's	ge
MOM	mom	nn1
<P>	<p>	null	
Her	her	appge
reports	report	nn2
from	from	ii
Lillehammer	lillehammer	np1
outclass	outclass	vv0_nn1	
Connie	connie	np1
Chung	chung	np1
's	's	ge
<P>	<p>	null	
INT'L	int'l	vv0_np1	
OLYMPIC	olympic	jj
COMMITTEE	committee	nn1
<P>	<p>	null	
Harding	harding	np1
's	's	ge
wobbles	wobble	nn2
dispel	dispel	vv0
the	the	at
specter	specter	nn1
of	of	io
a	a	at1
gold-medaled	gold-medaled	jj	
felon	felon	nn1
<P>	<p>	null	
SUBCOMANDANTE	subcomandante	np1	
MARCOS	marcos	np1
<P>	<p>	null	
Ski-masked	ski-masked	jj	
rebel	rebel	nn1
forces	force	nn2_vvz@
Mexican	mexican	jj
gov't	gov't	nn1	
to	to	ii
the	the	at
negotiating	negotiating	nn1_jj@
table	table	nn1
<P>	<p>	null	
LOSERS	loser	nn2
<P>	<p>	null	
BILL	bill	np1_nn1
GATES	gates	nn2_np1@
<P>	<p>	null	
Microsoft	microsoft	np1
's	's	ge
cyberspace	cyberspace	nn1
monopoly	monopoly	nn1
finally	finally	rr
halted	halt	vvn
by	by	ii
a	a	at1
patent	patent	nn1_jj@
suit	suit	nn1
<P>	<p>	null	
TIMBER	timber	nn1
CUTTERS	cutter	nn2
<P>	<p>	null	
White	white	np1
House	house	nn1
proposes	propose	vvz
tougher	tough	jjr
logging	logging	nn1
rules	rule	nn2_vvz@
to	to	to
save	save	vvi
spotted	spotted	jj
owl	owl	nn1
<P>	<p>	null	
MARTHA	martha	np1
RAYE	raye	np1_nn1	
<P>	<p>	null	
Judge	judge	nn1
tosses	toss	vvz
out	out	rp
her	her	appge
suit	suit	nn1
against	against	ii
Bette	bette	np1
Midler	midler	np1_nn1
's	's	ge_vbz
For	for	if
the	the	at
Boys	boy	nn2
