@@364849	##	fo
It	it	pph1
's	be	vbz
not	not	xx
unusual	unusual	jj
for	for	if
older	old	jjr
bands	band	nn2
to	to	to
come	come	vvi
out	out	ii21
of	of	ii22
hiding	hide	vvg
to	to	to
play	play	vvi
the	the	at
occasional	occasional	jj
summer	summer	nnt1
concert	concert	nn1
,	,	y
but	but	ccb
this	this	dd1
year	year	nnt1
the	the	at
nostalgia	nostalgia	nn1
fest	fest	nn1
is	be	vbz
aimed	aim	vvn
at	at	ii
a	a	at1
younger	young	jjr
and	and	cc
hipper	hipper	nn1_jjr@
crowd	crowd	nn1
.	.	y
Reunited	reunite	jj
veterans	veteran	nn2
of	of	io
alternative-rock	alternative-rock	jj_nn1
groups	group	nn2
are	be	vbr
touring	tour	vvg
and	and	cc
headlining	headline	vvg_jj@	
music	music	nn1
festivals	festival	nn2
like	like	ii
the	the	at
recently	recently	rr
reinvigorated	reinvigorate	vvd
Lollapalooza	lollapalooza	np1
.	.	y
Among	among	ii
the	the	at
alt-rock	alt-rock	nn1_jj	
retreads	retreads	vvz_nn2
back	back	rp
this	this	dd1
summer	summer	nnt1
:	:	y
Morrissey	morrissey	np1
,	,	y
whose	whose	ddqge
first	first	md
album	album	nn1
in	in	ii
seven	seven	mc
years	year	nnt2
,	,	y
You	you	ppy
Are	be	vbr
the	the	at
Quarry	quarry	nn1
,	,	y
came	come	vvd
out	out	rp
in	in	ii
May	may	npm1
,	,	y
along	along	ii21
with	with	ii22
the	the	at
Cure	cure	nn1
(	(	y
the	the	at
ever	ever	rr
evolving	evolve	vvg_jj@
rock	rock	nn1
band	band	nn1
,	,	y
above	above	rl
)	)	y
and	and	cc
more	more	rrr_dar
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Nadia	nadia	np1
Mustafa	mustafa	np1
