@@380952	##	fo
Eli	eli	np1
Lilly	lilly	np1
was	be	vbdz
the	the	at
last	last	md
U.S.	u.s.-	np1
manufacturer	manufacturer	nn1
of	of	io
animal	animal	nn1
insulin	insulin	nn1
,	,	y
which	which	ddq
is	be	vbz
extracted	extract	vvn
from	from	ii
the	the	at
pancreatic	pancreatic	jj
tissue	tissue	nn1
of	of	io
cows	cow	nn2
and	and	cc
pigs	pig	nn2
and	and	cc
has	have	vhz
been	be	vbn
used	use	vvn
by	by	ii
diabetics	diabetic	nn2
for	for	if
more	more	dar
than	than	csn
a	a	at1
half-century	half-century	nnt1_jj
.	.	y
Lilly	lilly	np1
stopped	stop	vvd
selling	sell	vvg
the	the	at
drug	drug	nn1
in	in	ii
March	march	npm1
,	,	y
and	and	cc
its	its	appge
last	last	md
batch	batch	nn1
expired	expire	vvd
April	april	npm1
1	1	mc1
.	.	y
From	from	rt31
now	now	rt32
on	on	rt33
,	,	y
it	it	pph1
will	will	vm
sell	sell	vvi
only	only	rr_jj
synthetic	synthetic	jj
human	human	jj_nn1
insulin	insulin	nn1
produced	produce	vvn
by	by	ii
recombinant-DNA	recombinant-dna	jj_nn1	
technology	technology	nn1
.	.	y
