@@369595	##	fo
No	no	at
hype	hype	nn1
here	here	rl
:	:	y
there	there	ex
are	be	vbr
nearly	nearly	rr
11	11	mc
hours	hour	nnt2
of	of	io
buried	bury	jj@
treasures	treasure	nn2
,	,	y
most	most	dat
of	of	io
them	them	ppho2
from	from	ii
the	the	at
first	first	md
half	half	db_nn1@
century	century	nnt1
of	of	io
movies	movie	nn2
,	,	y
all	all	rr@_db
rescued	rescue	vvn_vvd
and	and	cc
restored	restore	vvn
by	by	ii
nonprofit	nonprofit	jj
institutions	institution	nn2
.	.	y
Among	among	ii
the	the	at
finds	find	nn2%_vvz
in	in	ii
this	this	dd1
handsome	handsome	jj
four-disc	four-disc	jj_nn1
set	set	nn1_vvn
are	be	vbr
footage	footage	nn1
of	of	io
Orson	orson	np1
Welles	welles	np1
'	'	ge
1936	1936	mc
"	"	"
Voodoo	voodoo	nn1
"	"	"
Macbeth	macbeth	np1
and	and	cc
Marian	marian	np1
Anderson	anderson	np1
's	's	ge
1939	1939	mc
concert	concert	nn1
at	at	ii
the	the	at
Lincoln	lincoln	np1
Memorial	memorial	nn1
;	;	y
a	a	at1
1901	1901	mc
trick	trick	nn1_vv0
film	film	nn1
transferred	transfer	vvn
from	from	ii
paper	paper	nn1
prints	print	nn2
;	;	y
a	a	at1
1905	1905	mc
ride	ride	vv0_nn1
on	on	ii_rp@
a	a	at1
New	new	np1
York	york	np1
City	city	nn1
subway	subway	nn1
;	;	y
such	such	da
avant-garde	avant-garde	jj_nn1
classics	classic	nn2
as	as	csa
The	the	at
Fall	fall	nn1
of	of	io
the	the	at
House	house	nn1
of	of	io
Usher	usher	vv0
(	(	y
1928	1928	mc
)	)	y
and	and	cc
Joseph	joseph	np1
Cornell	cornell	np1
's	's	ge
Rose	rose	np1_nn1
Hobart	hobart	np1
(	(	y
1936	1936	mc
)	)	y
,	,	y
a	a	at1
work	work	nn1
with	with	iw
such	such	da
power	power	nn1
to	to	to
shock	shock	vvi
that	that	cst
Salvador	salvador	np1
Dali	dali	np1
,	,	y
in	in	ii
the	the	at
first-night	first-night	jj
audience	audience	nn1
,	,	y
kicked	kick	vvn_vvd
over	over	ii_rp
the	the	at
projector	projector	nn1
.	.	y
Modern	modern	jj
viewers	viewer	nn2
should	should	vm
jump	jump	vvi
for	for	if
joy	joy	nn1
at	at	ii
this	this	dd1
collection	collection	nn1
 -- 	--	nn1
a	a	at1
heroic	heroic	jj
work	work	nn1
of	of	io
excavation	excavation	nn1
and	and	cc
,	,	y
at	at	ii
$99.99	$99.99	nnu
,	,	y
an	an	at1
ideal	ideal	jj
Valentine	valentine	np1_nn1@
's	's	ge
Day	day	nnt1_np1
gift	gift	nn1
for	for	if
and	and	cc
from	from	ii
film	film	nn1
lovers	lover	nn2
.	.	y
 -- 	--	nn1_jj
By	by	ii
Richard	richard	np1
Corliss	corliss	np1
