@@381786	##	fo
Sgolne	sgolne	np1	
Royal	royal	jj
knows	know	vvz
how	how	rrq
to	to	to
attract	attract	vvi
a	a	at1
crowd	crowd	nn1
.	.	y
When	when	cs_rrq
she	she	pphs1
walks	walk	vvz
into	into	ii
a	a	at1
meeting	meeting	nn1
of	of	io
France	france	np1
's	's	ge
Socialist	socialist	jj
Party	party	nn1
,	,	y
her	her	appge
mere	mere	jj
approach	approach	nn1
is	be	vbz
enough	enough	dd
to	to	to
cause	cause	vvi
a	a	at1
stampede	stampede	nn1
of	of	io
camera-wielding	camera-wielding	nn1_jj	
,	,	y
sharp-elbowed	sharp-elbowed	jj
journalists	journalist	nn2
,	,	y
who	who	pnqs
brush	brush	vv0
aside	aside	rl
Royal	royal	jj
's	's	ge
rivals	rival	nn2
for	for	if
the	the	at
party	party	nn1
's	's	ge
presidential	presidential	jj
nomination	nomination	nn1
.	.	y
As	as	csa
she	she	pphs1
glides	glide	vvz
through	through	ii
the	the	at
crowd	crowd	nn1
,	,	y
Royal	royal	jj
,	,	y
53	53	mc
,	,	y
coyly	coyly	rr
appeals	appeal	vvz@_nn2
for	for	if
decorum	decorum	nn1
.	.	y
"	"	"
There	there	ex
should	should	vm
be	be	vbi
some	some	dd
constraints	constraint	nn2
,	,	y
some	some	dd
respect	respect	nn1
for	for	if
modesty	modesty	nn1
,	,	y
"	"	"
she	she	pphs1
coos	coo	nn2
in	in	ii
a	a	at1
smoky	smoky	jj
alto	alto	nn1
.	.	y
But	but	ccb
the	the	at
hint	hint	nn1
of	of	io
a	a	at1
smile	smile	nn1
on	on	ii
her	her	appge
lips	lip	nn2
betrays	betray	vvz
her	her	ppho1
:	:	y
she	she	pphs1
's	be	vbz
loving	love	vvg
it	it	pph1
.	.	y
And	and	cc
why	why	rrq
not	not	xx
?	?	y
So	so	rr
blinding	blinding	jj_vvg@
is	be	vbz
Royal	royal	jj
's	's	ge_vbz
star	star	nn1_jj@
wattage	wattage	vv0_nn1
that	that	cst
her	her	appge
opponents	opponent	nn2
seem	seem	vv0
feckless	feckless	jj
in	in	ii
her	her	appge
wake	wake	nn1
.	.	y
"	"	"
They	they	pphs2
're	be	vbr
not	not	xx
campaigning	campaign	vvg
against	against	ii
a	a	at1
person	person	nn1
,	,	y
"	"	"
sighs	sigh	vvz
a	a	at1
top	top	jj_nn1
aide	aide	nn1
to	to	ii
former	former	da
Finance	finance	nn1
Minister	minister	nn1
Dominique	dominique	np1_nn1
Strauss-Kahn	strauss-kahn	np1	
,	,	y
her	her	appge
main	main	jj
party	party	nn1
rival	rival	nn1_vv0
,	,	y
"	"	"
but	but	ccb
against	against	ii
a	a	at1
phenomenon	phenomenon	nn1
.	.	y
"	"	"
